enzymes	ranges	minU	maxU	pU
P00127	3.38675012877796e-06	2.74104586617954e-05	3.07972087905734e-05	3.05993839235123e-05
P00128	3.38675012877796e-06	2.74104586617954e-05	3.07972087905734e-05	3.05993839235123e-05
P00163	3.38675012877796e-06	2.74104586617954e-05	3.07972087905734e-05	3.05993839235123e-05
P00330	6.82518098849908e-05	1.25488956134253e-05	8.08007054984161e-05	1.25488956134253e-05
P00358	0.000142315854226984	1.4742503756663e-05	0.000157058357983647	1.4742503756663e-05
P00359	0.00014271437986483	1.47837870398572e-05	0.000157498166904687	1.47837870398572e-05
P00360	0.000142701206082367	1.47824223673229e-05	0.000157483628449689	1.47824223673229e-05
P00401	1.07438360249625e-06	8.69545912847152e-06	9.76984273096777e-06	9.7070864645605e-06
P00410	1.07438360249625e-06	8.69545912847152e-06	9.76984273096777e-06	9.7070864645605e-06
P00420	1.07438360249625e-06	8.69545912847152e-06	9.76984273096777e-06	9.7070864645605e-06
P00425	1.07438360249625e-06	8.63583613435303e-06	9.71021973684928e-06	9.647463470442e-06
P00427	1.07438360249625e-06	8.63583613435303e-06	9.71021973684928e-06	9.647463470442e-06
P00549	1.76340515499898e-05	0	1.76340515499898e-05	4.37976194242869e-06
P00560	5.62161046206695e-05	1.20123800650039e-05	6.82284846856734e-05	1.20123800650039e-05
P00830	2.44280716057214e-05	0	2.44280716057214e-05	2.29357667453927e-05
P00854	2.44279152660631e-05	0	2.44279152660631e-05	2.29356199564855e-05
P00856	2.44279152660631e-05	0	2.44279152660631e-05	2.29356199564855e-05
P00890	3.14143533756947e-06	0	3.14143533756947e-06	3.14143533756947e-06
P00924	5.37212054723009e-05	1.00750699673021e-05	6.3796275439603e-05	1.00750699673021e-05
P00925	5.36088704772604e-05	1.00540022543783e-05	6.36628727316387e-05	1.00540022543783e-05
P00942	6.08289629274526e-05	3.25298700239372e-06	6.40819499298463e-05	3.25298700239372e-06
P00950	9.10954483582498e-05	1.83109777365969e-05	0.000109406426094847	1.83109777365969e-05
P04037	1.07438360249625e-06	8.63583613435303e-06	9.71021973684928e-06	9.647463470442e-06
