Name	act1	act2	act3	act4	act5	act6	act7	act8	act9	act10
Gis	1	1	1	1	1	1	1	1	0	0
Msn2	1	1	1	1	1	1	1	1	0	0
Msn4	1	1	1	1	1	1	1	1	0	0
Adr1	1	1	1	1	1	1	0	0	0	0
Mig1	0	0	0	0	0	0	0	0	0	0
Sip4	1	1	1	1	1	1	1	1	1	1
Cat8	1	1	1	1	1	1	1	1	1	1
Gln3	0	0	0	0	0	0	0	0	0	0
Gat1	0	0	0	0	0	0	0	0	0	0
Rtg1	0	0	0	0	0	0	0	0	0	0
Rtg3	0	0	0	0	0	0	0	0	0	0
Sfp1	0	0	0	0	0	0	0	0	0	0
