enzymes	ranges	minU	maxU	pU
P00127	4.95000770075668e-09	2.96585193303354e-05	2.96634693380361e-05	2.96597474422233e-05
P00128	4.95000770075668e-09	2.96585193303354e-05	2.96634693380361e-05	2.96597474422233e-05
P00163	4.95000770075668e-09	2.96585193303354e-05	2.96634693380361e-05	2.96597474422233e-05
P00330	5.11466020100302e-08	2.53534583718876e-06	2.58649243919879e-06	2.55108801924296e-06
P00358	1.30333117549559e-05	0	1.30333117549559e-05	0
P00359	0.000142737868625444	0	0.000142737868625444	0.000142701371575213
P00360	0.000142724692674763	0	0.000142724692674763	0
P00401	1.57029804494076e-09	9.40861463976031e-06	9.41018493780525e-06	9.40900423545655e-06
P00410	1.57029804494076e-09	9.40861463976031e-06	9.41018493780525e-06	9.40900423545655e-06
P00420	1.57029804494076e-09	9.40861463976031e-06	9.41018493780525e-06	9.40900423545655e-06
P00425	1.57032475333124e-09	9.40861461305192e-06	9.41018493780525e-06	9.40900423545655e-06
P00427	1.57032475333124e-09	9.40861461305192e-06	9.41018493780525e-06	9.40900423545655e-06
P00549	2.00520056684002e-06	1.26588817487714e-05	1.46640823156114e-05	1.46635444818599e-05
P00560	2.99418009144453e-08	6.53003230777977e-06	6.55997410869421e-06	6.53081237989845e-06
P00830	2.13835843723329e-09	2.35944126345326e-05	2.35965509929699e-05	2.35946867741874e-05
P00854	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
P00856	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
P00890	2.57057312452909e-06	0	2.57057312452909e-06	2.56978633355475e-06
P00924	4.0502906674252e-08	0	4.0502906674252e-08	0
P00925	4.03799274153708e-08	0	4.03799274153708e-08	0
P00942	4.87134595381556e-08	2.0322025925561e-07	2.51933718793765e-07	2.03244424606611e-07
P00950	4.7982003843474e-08	6.08449364511354e-06	6.13247564895702e-06	6.08522049356163e-06
P04037	1.57032475333124e-09	9.40861461305192e-06	9.41018493780525e-06	9.40900423545655e-06
P04039	3.14064950666248e-09	1.88172292261038e-05	1.88203698756105e-05	1.88180084709131e-05
P04385	0	0	0	0
P04397	1.66845431844474e-08	0	1.66845431844474e-08	0
P04806	7.95945644982588e-07	6.84468524185632e-06	7.64063088683891e-06	7.64063088683891e-06
P04807	4.4843479237779e-08	0	4.4843479237779e-08	0
P05626	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
P06169	1.53678208738263e-05	2.51183468927409e-05	4.04861677665672e-05	4.04850775368602e-05
P07143	4.95000770075668e-09	2.96585193303354e-05	2.96634693380361e-05	2.96597474422233e-05
P07170	8.5175589651231e-07	0	8.5175589651231e-07	0
P07251	2.13835843723329e-09	2.35944126345326e-05	2.35965509929699e-05	2.35946867741874e-05
P07255	1.57029804494076e-09	9.40861463976031e-06	9.41018493780525e-06	9.40900423545655e-06
P07256	4.95000770075668e-09	2.96585193303354e-05	2.96634693380361e-05	2.96597474422233e-05
P07257	4.95000770075668e-09	2.96585193303354e-05	2.96634693380361e-05	2.96597474422233e-05
P08067	4.95000770075668e-09	2.96585193303354e-05	2.96634693380361e-05	2.96597474422233e-05
P08417	2.46335584679253e-08	3.3767415477695e-07	3.62307713244875e-07	3.37761339950519e-07
P08431	3.07807889796931e-08	0	3.07807889796931e-08	0
P08525	4.95000770075668e-09	2.96585193303354e-05	2.96634693380361e-05	2.96597474422233e-05
P09201	2.36614399407279e-09	0	2.36614399407279e-09	0
P09457	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
P09624	1.58888271446185e-08	1.29731316101701e-05	1.29890204373148e-05	1.29761601087088e-05
P0CX10	1.52619054609647e-05	0	1.52619054609647e-05	0
P0CX11	1.52619054609647e-05	0	1.52619054609647e-05	0
P10174	1.57032475333124e-09	9.40861461305192e-06	9.41018493780525e-06	9.40900423545655e-06
P10963	2.01253919910239e-09	0	2.01253919910239e-09	0
P11154	3.15477866240506e-06	0	3.15477866240506e-06	3.15241996654212e-06
P11412	7.59627167413347e-10	2.84965542249373e-07	2.85725169416786e-07	2.85036711556442e-07
P12695	6.38659314277907e-10	9.41336451761639e-07	9.41975111075917e-07	9.4155620102143e-07
P12709	2.19193661082405e-08	2.55373462717306e-06	2.5756539932813e-06	2.5543706215293e-06
P14540	3.82486117148214e-08	5.42399451073018e-05	5.42781937190166e-05	5.4245265200062e-05
P15019	3.5736754760394e-08	1.67206503676264e-06	1.70780179152303e-06	1.6725755783981e-06
P16387	1.58888271446185e-08	1.29731316101701e-05	1.29890204373148e-05	1.29761601087088e-05
P16451	9.85566693774426e-10	9.41336451761639e-07	9.42322018455414e-07	9.4155620102143e-07
P16467	3.13087234625362e-06	0	3.13087234625362e-06	0
P16861	5.33571276860504e-08	0	5.33571276860504e-08	0
P16862	4.30581100048996e-08	4.89570456477072e-06	4.93876267477562e-06	4.9383007127434e-06
P17505	3.70735287602338e-08	1.83557116698605e-06	1.87264469574628e-06	1.8361330418604e-06
P17709	7.95945644982589e-07	0	7.95945644982589e-07	0
P19414	1.5917002924283e-08	2.53329080444273e-06	2.54920780736701e-06	2.53392050894129e-06
P19516	9.72159232367693e-09	0	9.72159232367693e-09	0
P20967	2.54886485184048e-08	1.25534379850592e-05	1.25789266335776e-05	1.25743252707681e-05
P21306	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
P21801	9.18423252690132e-10	1.59367419149176e-06	1.59459261474445e-06	1.59408566734513e-06
P21826	2.99403997487532e-08	0	2.99403997487532e-08	0
P21954	2.53065867432743e-08	1.29469070738267e-05	1.29722136605699e-05	1.29676451646377e-05
P22289	4.95000770075668e-09	2.96585193303354e-05	2.96634693380361e-05	2.96597474422233e-05
P23254	1.0838159742455e-06	2.47531129037477e-07	1.33134710328298e-06	1.31367030260064e-06
P26263	1.53667197489402e-05	0	1.53667197489402e-05	0
P28240	4.35525709086247e-08	0	4.35525709086247e-08	1.26850919943965e-09
P30902	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
P30952	2.99423925003477e-08	0	2.99423925003477e-08	8.7210007461476e-10
P32327	3.15443674070732e-06	0	3.15443674070732e-06	0
P32340	2.96551336803864e-07	5.53010947435337e-06	5.82666081115723e-06	5.82597846359154e-06
P32473	1.58888271446185e-08	1.29731316101701e-05	1.29890204373148e-05	1.29761601087088e-05
P32799	1.57032475333124e-09	9.40861461305192e-06	9.41018493780525e-06	9.40900423545655e-06
P33315	1.06613917356317e-06	0	1.06613917356317e-06	0
P33401	2.06720292736523e-08	0	2.06720292736523e-08	0
P33421	9.18423252690132e-10	1.59367419149176e-06	1.59459261474445e-06	1.59408566734513e-06
P37012	2.06796967822951e-08	0	2.06796967822951e-08	0
P37298	9.18423252690132e-10	1.59367419149176e-06	1.59459261474445e-06	1.59408566734513e-06
P37299	4.95000770075668e-09	2.96585193303354e-05	2.96634693380361e-05	2.96597474422233e-05
P38077	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
P38113	5.00612467595908e-08	0	5.00612467595908e-08	0
P38720	3.44792987798431e-06	1.39502574241246e-06	4.84295562039677e-06	4.83098704528617e-06
P38824	9.72159232367693e-09	0	9.72159232367693e-09	0
P38858	2.0107467151706e-06	1.60699420055236e-05	1.80806887206942e-05	1.80371231072917e-05
P40047	1.92343925796947e-08	0	1.92343925796947e-08	0
P40106	6.49178963012963e-09	0	6.49178963012963e-09	0
P40215	2.36162863474568e-07	0	2.36162863474568e-07	0
P41277	6.48658831953186e-09	0	6.48658831953186e-09	0
P41911	7.73216632334125e-10	0	7.73216632334125e-10	0
P42222	1.52667118828045e-05	0	1.52667118828045e-05	1.52391368702982e-05
P43635	2.56987793779865e-06	0	2.56987793779865e-06	0
P46367	1.92256624309391e-08	0	1.92256624309391e-08	0
P46969	5.05098536272658e-08	7.98351309310271e-07	8.48861162937537e-07	7.98618950479687e-07
P47052	8.20505107174669e-08	0	8.20505107174669e-08	0
P47081	9.72159232367693e-09	0	9.72159232367693e-09	0
P47771	2.07150364305786e-08	0	2.07150364305786e-08	0
P52489	2.00466273308854e-06	0	2.00466273308854e-06	0
P52910	3.59260093611355e-07	4.02566428717742e-07	7.61826522329097e-07	7.60078899038456e-07
P53239	9.72159232367693e-09	0	9.72159232367693e-09	0
P53312	3.52515121560707e-09	1.73627323567343e-06	1.73979838688904e-06	1.73916196982209e-06
P53315	1.96718110177654e-06	0	1.96718110177654e-06	0
P53319	3.43596130279397e-06	0	3.43596130279397e-06	0
P53598	3.52515121560707e-09	1.73627323567343e-06	1.73979838688904e-06	1.73916196982209e-06
P54115	4.45619982448789e-08	9.69201262266432e-06	9.7365746209092e-06	9.73161772575758e-06
P61829	2.13835843723329e-09	2.35944126345326e-05	2.35965509929699e-05	2.35946867741874e-05
P81449	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
P81450	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
P81451	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
Q00055	7.76231236907962e-10	0	7.76231236907962e-10	0
Q00711	6.29879743175783e-08	1.53160464042687e-06	1.59459261474445e-06	1.59408566734513e-06
Q01519	1.57032475333124e-09	9.40861461305192e-06	9.41018493780525e-06	9.40900423545655e-06
Q01574	3.57512470320714e-07	0	3.57512470320714e-07	0
Q04458	2.01266250561889e-08	0	2.01266250561889e-08	0
Q04935	9.72159232367693e-09	0	9.72159232367693e-09	0
Q06204	3.5500083797535e-08	0	3.5500083797535e-08	0
Q06405	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
Q07500	2.95875744249239e-07	0	2.95875744249239e-07	0
Q12055	9.0917086144596e-07	9.68301581154107e-08	1.00600101956137e-06	9.48586054627721e-07
Q12165	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
Q12189	4.77327527308198e-08	8.87392349893761e-06	8.92165625166843e-06	8.87548724676794e-06
Q12233	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
Q12349	2.1383447517389e-09	2.35942616302918e-05	2.35963999750435e-05	2.35945357681921e-05
Q3E731	9.72159232367693e-09	0	9.72159232367693e-09	0
