Var1	act0	act1	act2	act3	act4	act5	act6	act7
EGO	1	0	0	0	0	0	0	0
Tor1	0	0	0	0	0	0	0	0
Tor2	0	0	0	0	0	0	0	0
Kog1	1	1	1	1	1	1	1	1
Tco89	1	1	1	1	1	1	1	1
Lst8	1	1	1	1	1	1	1	1
TORC1	1	0	0	0	0	0	0	0
Sch9	1	1	1	0	0	0	0	0
Sfp1	1	1	1	0	0	0	0	0
Tap42	1	1	1	1	1	1	1	1
PP2A	0	0	0	0	0	0	0	0
Mks1	1	1	1	1	1	1	1	1
Rgt2	1	1	1	1	1	1	1	1
Rtg1,3	0	0	0	0	0	0	0	0
Gln3	0	0	0	0	0	0	0	0
Gat1	0	0	0	0	0	0	0	0
