Var1	act0	act1	act2	act3	act4	act5	act6	act7
Tos3	1	1	1	1	1	1	1	1
Sak1	1	1	1	1	1	1	1	1
Elm1	1	1	1	1	1	1	1	1
Glc7	0	0	0	0	0	0	0	0
Reg1	0	0	0	0	0	0	0	0
Sip2	1	1	1	1	1	1	1	1
Sip1	1	1	1	1	1	1	1	1
Gal83	1	1	1	1	1	1	1	1
Snf1	0	1	1	1	1	1	1	1
Snf4	1	1	1	1	1	1	1	1
Cat8	0	0	1	1	1	1	1	1
Sip4	0	0	1	1	1	1	1	1
Adr1	0	0	0	0	1	1	1	1
Mig1	1	1	0	0	0	0	0	0
