Var1	act0	act1	act2	act3	act4	act5
Gpr1	0	0	0	0	0	0
Gpa2	0	0	0	0	0	0
Krh	0	1	1	1	1	1
Cdc25	0	0	0	0	0	0
Ras	0	0	0	0	0	0
Ira	0	1	1	1	1	1
AC	0	0	0	0	0	0
Pde	0	0	0	0	0	0
Tpk1	1	1	1	1	1	1
Tpk2	1	1	1	1	1	1
Tpk3	1	1	1	1	1	1
Bcy1	1	1	1	1	1	1
PKA	0	0	0	0	0	0
Rim15	1	1	1	1	1	1
Gis1	0	1	1	1	1	1
Msn2,4	0	1	1	1	1	1
