enzymes	ranges	minU	maxU	pU
P00127	4.08190540780528e-09	2.16729831944496e-05	2.16770650998574e-05	2.16729831944496e-05
P00128	4.08190540780528e-09	2.16729831944496e-05	2.16770650998574e-05	2.16729831944496e-05
P00163	4.08190540780528e-09	2.16729831944496e-05	2.16770650998574e-05	2.16729831944496e-05
P00330	8.91420060649673e-08	4.3925377604869e-06	4.48167976655187e-06	4.41489672422071e-06
P00358	2.45825500193955e-05	0	2.45825500193955e-05	0
P00359	0.000207663331226431	0	0.000207663331226431	0.000207569122219477
P00360	0.000207637140767719	0	0.000207637140767719	0
P00401	1.29490870903693e-09	6.87535155411524e-06	6.87664646282428e-06	6.87535155411524e-06
P00410	1.29490870903693e-09	6.87535155411524e-06	6.87664646282428e-06	6.87535155411524e-06
P00420	1.29490870903693e-09	6.87535155411524e-06	6.87664646282428e-06	6.87535155411524e-06
P00425	1.29490870903693e-09	6.87535155411524e-06	6.87664646282428e-06	6.87535155411524e-06
P00427	1.29490870903693e-09	6.87535155411524e-06	6.87664646282428e-06	6.87535155411524e-06
P00549	3.78972652520436e-06	1.77196502248798e-05	2.15093767500842e-05	2.15006929951016e-05
P00560	5.62764951941507e-08	9.51011617316315e-06	9.5663926683573e-06	9.51138273497964e-06
P00830	2.41368564367177e-08	1.7224714417318e-05	1.72488512737547e-05	1.72441057712494e-05
P00854	2.41367019608322e-08	1.72246041791457e-05	1.72487408811065e-05	1.72439954089725e-05
P00856	2.41367019608322e-08	1.72246041791457e-05	1.72487408811065e-05	1.72439954089725e-05
P00890	1.39331768823234e-06	0	1.39331768823234e-06	1.39240468888683e-06
P00924	7.63938397216e-08	0	7.63938397216e-08	0
P00925	7.61618845715935e-08	0	7.61618845715935e-08	0
P00942	9.18628531694883e-08	2.95461657983533e-07	3.87324511153022e-07	2.95444482636413e-07
P00950	9.01188279542622e-08	8.86144623713499e-06	8.95156506508926e-06	8.86242901712426e-06
P04037	1.29490870903693e-09	6.87535155411524e-06	6.87664646282428e-06	6.87535155411524e-06
P04039	2.58981741807386e-09	1.37507031082305e-05	1.37532929256486e-05	1.37507031082305e-05
P04385	0	0	0	0
P04397	3.14692554811959e-08	0	3.14692554811959e-08	0
P04806	1.5054981463095e-06	9.22742472366417e-06	1.07329228699737e-05	1.07286765880909e-05
P04807	8.45807337469467e-08	0	8.45807337469467e-08	0
P05626	2.41367019608322e-08	1.72246041791457e-05	1.72487408811065e-05	1.72439954089725e-05
P06169	2.16178739305926e-05	4.60598032554893e-05	6.76776771860819e-05	6.76401455333114e-05
P07143	4.08190540780528e-09	2.16729831944496e-05	2.16770650998574e-05	2.16729831944496e-05
P07170	1.10605049277574e-06	0	1.10605049277574e-06	0
P07251	2.41368564367177e-08	1.7224714417318e-05	1.72488512737547e-05	1.72441057712494e-05
P07255	1.29490870903693e-09	6.87535155411524e-06	6.87664646282428e-06	6.87535155411524e-06
P07256	4.08190540780528e-09	2.16729831944496e-05	2.16770650998574e-05	2.16729831944496e-05
P07257	4.08190540780528e-09	2.16729831944496e-05	2.16770650998574e-05	2.16729831944496e-05
P08067	4.08190540780528e-09	2.16729831944496e-05	2.16770650998574e-05	2.16729831944496e-05
P08417	4.64935392800679e-08	1.75121257453486e-07	2.21614796733554e-07	1.75318320700202e-07
P08431	5.8056639705836e-08	0	5.8056639705836e-08	0
P08525	4.08190540780528e-09	2.16729831944496e-05	2.16770650998574e-05	2.16729831944496e-05
P09201	2.08007622025689e-09	0	2.08007622025689e-09	0
P09457	2.41367019608322e-08	1.72246041791457e-05	1.72487408811065e-05	1.72439954089725e-05
P09624	2.23080372113009e-08	9.53383724722628e-06	9.55614528443758e-06	9.53712799550341e-06
P0CX10	2.22390861380862e-05	0	2.22390861380862e-05	0
P0CX11	2.22390861380862e-05	0	2.22390861380862e-05	0
P10174	1.29490870903693e-09	6.87535155411524e-06	6.87664646282428e-06	6.87535155411524e-06
P10963	2.82583405563201e-09	0	2.82583405563201e-09	0
P11154	3.56698086681786e-06	0	3.56698086681786e-06	3.56366821190853e-06
P11412	1.09790556387793e-09	3.39271362374509e-07	3.40369267938387e-07	3.39271362374509e-07
P12695	1.2272293290817e-09	6.91779656265989e-07	6.93006885595071e-07	6.92018434488543e-07
P12709	4.09340702960622e-08	3.70747003698829e-06	3.74840410728435e-06	3.7082580888445e-06
P14540	7.26237015042026e-08	7.88312560510606e-05	7.89038797525648e-05	7.88417139545516e-05
P15019	6.70633189258763e-08	1.9918905443415e-06	2.05895386326738e-06	1.99251256558208e-06
P16387	2.23080372113009e-08	9.53383724722628e-06	9.55614528443758e-06	9.53712799550341e-06
P16451	1.61868153544279e-09	6.91779656265989e-07	6.93398337801432e-07	6.92018434488543e-07
P16467	5.905239397514e-06	0	5.905239397514e-06	0
P16861	7.62607924233246e-08	0	7.62607924233246e-08	0
P16862	6.24402004562117e-08	7.11738888280965e-06	7.17982908326586e-06	7.17747605767495e-06
P17505	5.22212183189313e-08	9.52351964536815e-07	1.00457318285575e-06	9.53096682498514e-07
P17709	1.50125877429121e-06	0	1.50125877429121e-06	0
P19414	2.94815420957101e-08	1.37231470076392e-06	1.40179624285963e-06	1.37297126685073e-06
P19516	1.38754247880745e-08	0	1.38754247880745e-08	0
P20967	3.57889630409079e-08	6.49810235315081e-06	6.53389131619172e-06	6.526594082795e-06
