D_rate	nZeros	maxflux	minflux	meanflux	medianflux	stddev	fermentation	glyc_meanFlux	oxPhos_meanFlux	TCA_meanFlux	PPP_meanFlux
0	155	1.1671529804085	0.0486313741836876	0.236723295953259	0.0972627483673753	0.294580849907518	0	0.0745681070816544	0.781934139224676	0.0972627483673753	0.0972627483673753
0.005	116	1.62114358843913	3.54860146912182e-07	0.175286316878661	0.0810391667761276	0.328520521649736	0	0.126211700804201	1.08776851711574	0.0987594601178181	0.00847108907582249
0.01	116	2.07864429556978	5.37315415728365e-07	0.229616782488347	0.113593127295296	0.419444610945228	0	0.178079434005944	1.39595447727862	0.122926449947256	0.0169422332254256
0.015	116	2.53965488555422	7.2029070748679e-07	0.284312085863343	0.146293333193384	0.512374822993949	0	0.230171410075805	1.70649188348539	0.147318432200652	0.0254133772089101
0.02	116	3.00417535839246	9.03786022379144e-07	0.339372227003648	0.179139784470392	0.606711743329967	0	0.282487629013785	2.01938073573607	0.171935406878006	0.0338845210262761
0.025	116	3.47220571408449	1.0878013594097e-06	0.394797205909263	0.212132481126318	0.702169031926849	0	0.335028090819884	2.33462103403064	0.196777373979319	0.0423556646775241
0.03	116	3.9437459526303	1.27233672013102e-06	0.450587022580187	0.245271423161165	0.798593619628543	0	0.387792795494102	2.65221277836912	0.221844333504589	0.0508268081626533
0.035	116	4.41879607402991	1.45739210254126e-06	0.50674167701642	0.274825532777191	0.895896608427378	0	0.440781743036438	2.97215596875149	0.247136285453818	0.0592979514816644
0.04	116	4.89735607828332	1.64296750908982e-06	0.563261169217964	0.304542783293925	0.99402300153504	0	0.493994933446894	3.29445060517776	0.272653229827004	0.0677690946345566
0.045	116	5.37942596539051	1.82906293888507e-06	0.620145499184815	0.334479401575693	1.09293704924396	0	0.547432366725468	3.61909668764793	0.298395166624149	0.0762402376213304
0.05	116	5.8650057353515	2.01567838992861e-06	0.677394666916977	0.364635387622492	1.19261457520859	0	0.601094042872162	3.94609421616201	0.324362095845252	0.0847113804419865
0.055	116	6.35409538816627	2.20281386499946e-06	0.735008672414448	0.395010741434324	1.29303869588623	0	0.654979961886974	4.27544319071997	0.350554017490313	0.0931825230965234
0.06	116	6.84669492383484	2.39046936219983e-06	0.792987515677229	0.425644620155111	1.39419730543608	0	0.709090123769905	4.60714361132184	0.376970931559332	0.101653665584943
0.065	116	7.34280434235721	2.57864488264342e-06	0.851331196705319	0.45801297732298	1.49608153232514	0	0.763424528520955	4.94119547796761	0.403612838052309	0.110124807907243
0.07	116	7.84242364373336	2.76734042578552e-06	0.910039715498718	0.490527579956439	1.5986847566582	0	0.817983176140122	5.27759879065728	0.430479736969245	0.118595950063425
0.075	116	8.34555282796331	2.95655599384659e-06	0.969113072057427	0.523188428055488	1.70200196438477	0	0.872766066627412	5.61635354939084	0.457571628310138	0.127067092053488
0.08	116	8.85219189504705	3.14629158114366e-06	1.02855126638145	0.555995521620126	1.806029311061	0	0.927773199982817	5.95745975416831	0.484888512074989	0.135538233877434
0.085	116	9.36234084498458	3.33654719313764e-06	1.08835429847077	0.588948860650356	1.9107638199782	0	0.983004576206342	6.30091740498967	0.512430388263798	0.14400937553526
0.09	116	9.8759996777759	3.52732283026569e-06	1.14852216832541	0.622048445146175	2.01620316877483	0	1.03846019529799	6.64672650185494	0.540197256876566	0.152480517026968
0.095	116	10.393168393421	3.7186184865326e-06	1.20905487594536	0.655053830795175	2.12234553571035	0	1.09414005725775	6.99488704476409	0.568189117913292	0.160951658352558
0.1	116	10.9138469919199	3.91043416660131e-06	1.26995242133061	0.677017455581305	2.22918948702448	0	1.15004416208563	7.34539903371715	0.596405971373976	0.16942279951203
0.105	116	11.4380354732726	4.10276987181102e-06	1.33121480448118	0.692920329777799	2.33673389313064	0	1.20617250978164	7.69826246871411	0.624847817258617	0.177893940505383
0.11	116	11.9657338374791	4.29562559681879e-06	1.39284202539705	0.708896326750424	2.44497786539447	0	1.26252510034576	8.05347734975498	0.653514655567218	0.186365081332618
0.115	116	12.4969420845394	4.48900134716879e-06	1.45483408407824	0.736776516238082	2.55392070783795	0	1.31910193377799	8.41104367683974	0.682406486299775	0.194836221993733
0.12	116	13.0316602144535	4.68289711867687e-06	1.51719098052473	0.768271078755748	2.6635618798201	0	1.37590301007835	8.77096144996841	0.711523309456291	0.203307362488732
0.125	116	13.5698882272213	4.87731291420185e-06	1.57991271473653	0.799985009125118	2.77390096689496	0	1.43292832924683	9.13323066914094	0.740865125036766	0.21177850281761
0.13	116	14.111626122843	5.0722487312943e-06	1.64299928671365	0.83191830734619	2.88493765783463	0	1.49017789128343	9.49785133435742	0.770431933041198	0.220249642980372
0.135	116	14.6568739013184	5.26770457243142e-06	1.70645069645607	0.864070973418964	2.99667172635123	0	1.54765169618814	9.86482344561775	0.80022373346959	0.228720782977014
0.14	116	15.2056315626477	5.46368043669032e-06	1.7702669439638	0.896443007343443	3.10910301643714	0	1.60534974396097	10.234147002922	0.830240526321935	0.237191922807538
0.145	116	15.7578991068307	5.66017632566695e-06	1.83444802923684	0.929034409119625	3.22223143051737	0	1.66327203460193	10.6058220062702	0.860482311598245	0.245663062471943
0.15	116	16.3136765338676	5.85719223841763e-06	1.89899395227519	0.96184517874751	3.33605691980711	0	1.721418568111	10.9798484556622	0.89094908929851	0.25413420197023
0.155	116	16.8729638437582	6.05472817652442e-06	1.96390471307885	0.994875316227098	3.4505794764122	0	1.77978934448819	11.3562263510982	0.92164085942273	0.262605341302396
0.16	116	17.4357610365026	6.25278411911512e-06	2.02918031164782	1.02812482155838	3.5657991268182	0	1.8383843637335	11.734955692578	0.95255762197091	0.271076480468452
0.165	116	18.0020681121008	6.45136009817804e-06	2.0948207479821	1.06159369474138	3.68171592649316	0	1.89720362584692	12.1160364801018	0.983699376943053	0.279547619468383
0.17	116	18.5718850705528	6.65045609903048e-06	2.16082602208168	1.09528193577607	3.79832995538999	0	1.95624713082847	12.4994687136694	1.01506612433915	0.288018758302196
0.175	116	19.1452119118586	6.8500721252529e-06	2.22719613394658	1.12918954466247	3.91564131417996	0	2.01551487867813	12.885252393281	1.04665786415921	0.29648989696989
0.18	116	19.7220486360181	7.05020817282076e-06	2.29393108357678	1.16331652140058	4.03365012108371	0	2.07500686939592	13.2733875189364	1.07847459640322	0.304961035471466
0.185	116	20.3023952430315	7.25086423733479e-06	2.3610308709723	1.19766286599038	4.15235650919382	0	2.13472310298182	13.6638740906358	1.11051632107119	0.313432173806927
0.19	116	20.8862517328987	7.45204033116009e-06	2.42849549613313	1.23222857843189	4.27176062420316	0	2.19466357943584	14.056712108379	1.14278303816312	0.321903311976267
0.195	116	21.4736181056196	7.65373645258971e-06	2.49632495905926	1.26701365872509	4.39186262247064	0	2.25482829875799	14.4519015721661	1.17527474767901	0.330374449979486
0.2	116	22.0644943611944	7.85595258692706e-06	2.56451925975071	1.30201810687001	4.5126626693684	0	2.31521726094825	14.8494424819972	1.20799144961885	0.338845587816591
0.205	116	22.6588804996229	8.05868874839688e-06	2.63307839820746	1.33724192286663	4.6341609378646	0	2.37583046600662	15.2493348378721	1.24093314398266	0.347316725487576
0.21	116	23.2567765209053	8.26194493214194e-06	2.70200237442953	1.37268510671495	4.75635760730513	0	2.43666791393313	15.651578639791	1.27409983077042	0.355787862992441
0.215	116	23.8581824250414	8.46572113899491e-06	2.7712911884169	1.40834765841497	4.87925286236271	0	2.49772960472774	16.0561738877538	1.30749150998214	0.36425900033119
0.22	116	24.4630982120313	8.67001736944151e-06	2.84094484016958	1.44422957796669	5.00284689212862	0	2.55901553839048	16.4631205817604	1.34110818161782	0.372730137503819
0.225	116	25.071523881875	8.87483362034536e-06	2.91096332968757	1.48033086537013	5.12713988932538	0	2.62052571492133	16.8724187218109	1.37494984567745	0.38120127451033
0.23	116	25.6834594345725	9.08016989570326e-06	2.98134665697087	1.51665152062525	5.25213204962312	0	2.68226013432031	17.2840683079054	1.40901650216105	0.389672411350721
