Row	ecM_R	hyb_R	ecM_F	hyb_F
sensitivity	0.388888888888889	0.666666666666667	0.333333333333333	0.648148148148148
specificity	0.842105263157895	0.157894736842105	1	1
precision	0.823529411764706	0.6	1	1
accuracy	0.545454545454545	0.490909090909091	0.345454545454545	0.654545454545455
F1_score	0.528301886792453	0.631578947368421	0.5	0.786516853932584
MCC	0.237691021513302	-0.187317162316339	0.0949157995752499	0.180020574955774
FMI	0.56591645841811	0.632455532033676	0.577350269189626	0.805076485899413
informedness	0.230994152046784	-0.175438596491228	0.333333333333333	0.648148148148148
markedness	0.244582043343653	-0.2	0.027027027027027	0.05
