Var1	act0	act1	act2	act3	act4	act5	act6	act7	act8	act9	act10	act11	act12
Gpr1	0	1	1	1	1	1	1	1	1	1	1	1	1
Gpa2	0	0	1	1	1	1	1	1	1	1	1	1	1
Krh	1	1	1	0	0	0	0	0	0	0	0	0	0
Cdc25	0	0	1	1	1	1	1	1	1	1	1	1	1
Ras	0	0	0	1	1	1	1	1	1	1	1	1	1
Ira	1	0	0	0	0	0	0	0	0	0	0	0	0
AC	0	0	0	0	1	1	1	1	1	1	1	1	1
Pde	0	0	0	0	0	0	0	1	1	1	1	1	1
Tpk1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tpk2	1	1	1	1	1	1	1	1	1	1	1	1	1
Tpk3	1	1	1	1	1	1	1	1	1	1	1	1	1
Bcy1	1	1	1	1	1	1	1	1	1	1	1	1	1
PKA	0	0	0	0	0	0	1	1	1	1	1	1	1
Rim15	1	1	1	1	1	1	1	0	0	0	0	0	0
Gis1	1	1	1	1	1	1	1	1	0	0	0	0	0
Msn2,4	1	1	1	1	1	1	1	1	0	0	0	0	0
