Var1	act0	act1	act2	act3	act4	act5	act6	act7	act8	act9	act10	act11	act12
EGO	0	1	1	1	1	1	1	1	1	1	1	1	1
Tor1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tor2	0	0	0	0	0	0	0	0	0	0	0	0	0
Kog1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tco89	1	1	1	1	1	1	1	1	1	1	1	1	1
Lst8	1	1	1	1	1	1	1	1	1	1	1	1	1
TORC1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sch9	0	0	0	0	0	0	0	0	0	0	0	0	0
Sfp1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tap42	1	1	1	1	1	1	1	1	0	0	0	0	0
PP2A	0	0	0	0	0	0	0	0	0	1	1	1	1
Mks1	1	1	1	1	1	1	1	1	1	1	0	0	0
Rgt2	1	1	1	1	1	1	1	1	1	1	1	1	1
Rtg1,3	0	0	0	0	0	0	0	0	0	0	0	1	1
Gln3	0	0	0	0	0	0	0	0	0	0	1	1	1
Gat1	0	0	0	0	0	0	0	0	0	0	1	1	1
