Name	act1	act2	act3	act4	act5	act6	act7	act8	act9	act10	act11	act12	act13
Gis	1	1	1	1	1	1	1	1	0	0	0	0	0
Msn2	1	1	1	1	1	1	1	1	0	0	0	0	0
Msn4	1	1	1	1	1	1	1	1	0	0	0	0	0
Adr1	1	1	1	1	1	1	0	0	0	0	0	0	0
Mig1	0	0	0	0	0	0	0	0	1	1	1	1	1
Sip4	1	1	1	1	1	1	1	1	0	0	0	0	0
Cat8	1	1	1	1	1	1	1	1	0	0	0	0	0
Gln3	0	0	0	0	0	0	0	0	0	0	1	1	1
Gat1	0	0	0	0	0	0	0	0	0	0	1	1	1
Rtg1	0	0	0	0	0	0	0	0	0	0	0	1	1
Rtg3	0	0	0	0	0	0	0	0	0	0	0	1	1
Sfp1	0	0	0	0	0	0	0	0	0	0	0	0	0
