enzymes	ranges	minU	maxU	pU
P00127	3.71893808969777e-09	3.24218717796476e-05	3.24255907177373e-05	3.24229233381817e-05
P00128	3.71893808969777e-09	3.24218717796476e-05	3.24255907177373e-05	3.24229233381817e-05
P00163	3.71893808969777e-09	3.24218717796476e-05	3.24255907177373e-05	3.24229233381817e-05
P00330	4.40050176873698e-08	1.89137878725447e-06	1.93538380494184e-06	1.90492299806896e-06
P00358	1.12134744391888e-05	0	1.12134744391888e-05	0
P00359	0.000120277974975469	0	0.000120277974975469	0.000120246573997147
P00360	0.000120266872268937	0	0.000120266872268937	0
P00401	1.17974108683885e-09	1.02852369249582e-05	1.0286416666045e-05	1.02855704894016e-05
P00410	1.17974108683885e-09	1.02852369249582e-05	1.0286416666045e-05	1.02855704894016e-05
P00420	1.17974108683885e-09	1.02852369249582e-05	1.0286416666045e-05	1.02855704894016e-05
P00425	1.12095362650788e-09	1.02852957124185e-05	1.0286416666045e-05	1.02855704894016e-05
P00427	1.12095362650788e-09	1.02852957124185e-05	1.0286416666045e-05	1.02855704894016e-05
P00549	1.72513621046702e-06	1.05711405887296e-05	1.22962767991966e-05	1.2295892880289e-05
P00560	2.56467317285377e-08	5.49843193942711e-06	5.52407867115564e-06	5.49898878559165e-06
P00830	2.32249526421492e-09	2.57914364706991e-05	2.57937589659633e-05	2.57916759878134e-05
P00854	2.32248040025036e-09	2.57912714055057e-05	2.57935938859059e-05	2.57915109210871e-05
P00856	2.32248040025036e-09	2.57912714055057e-05	2.57935938859059e-05	2.57915109210871e-05
P00890	2.48786269522425e-06	4.8815606043915e-07	2.9760187556634e-06	2.97534115653213e-06
P00924	3.48474982601102e-08	0	3.48474982601102e-08	0
P00925	3.47416905573603e-08	0	3.47416905573603e-08	0
P00942	4.19080731778922e-08	1.71292226176439e-07	2.13200299354331e-07	1.71309476354593e-07
P00950	4.11757855812284e-08	5.12327851022661e-06	5.16445429580784e-06	5.12379736324139e-06
P04037	1.12095362650788e-09	1.02852957124185e-05	1.0286416666045e-05	1.02855704894016e-05
P04039	2.24190725301576e-09	2.0570591424837e-05	2.057283333209e-05	2.05711409788031e-05
P04385	0	0	0	0
P04397	1.43548855459719e-08	0	1.43548855459719e-08	0
P04806	6.84807999124049e-07	5.88896394373227e-06	6.57377194285632e-06	6.57377194285632e-06
P04807	3.858199800978e-08	0	3.858199800978e-08	0
P05626	2.32248040025036e-09	2.57912714055057e-05	2.57935938859059e-05	2.57915109210871e-05
P06169	1.32220210278394e-05	1.785092231174e-05	3.10729433395795e-05	3.10720025988505e-05
P07143	3.71893808969777e-09	3.24218717796476e-05	3.24255907177373e-05	3.24229233381817e-05
P07170	7.32825482387551e-07	0	7.32825482387551e-07	0
P07251	2.32249526421492e-09	2.57914364706991e-05	2.57937589659633e-05	2.57916759878134e-05
P07255	1.17974108683885e-09	1.02852369249582e-05	1.0286416666045e-05	1.02855704894016e-05
P07256	3.71893808969777e-09	3.24218717796476e-05	3.24255907177373e-05	3.24229233381817e-05
P07257	3.71893808969777e-09	3.24218717796476e-05	3.24255907177373e-05	3.24229233381817e-05
P08067	3.71893808969777e-09	3.24218717796476e-05	3.24255907177373e-05	3.24229233381817e-05
P08417	2.11776065618273e-08	3.93638121501371e-07	4.14815728063198e-07	3.93696666196126e-07
P08431	2.64828768720708e-08	0	2.64828768720708e-08	0
P08525	3.71893808969777e-09	3.24218717796476e-05	3.24255907177373e-05	3.24229233381817e-05
P09201	2.0357600352047e-09	0	2.0357600352047e-09	0
P09457	2.32248040025036e-09	2.57912714055057e-05	2.57935938859059e-05	2.57915109210871e-05
P09624	1.32830131794757e-08	1.41646421937165e-05	1.4177925206896e-05	1.41669144338467e-05
P0CX10	1.28511352151655e-05	0	1.28511352151655e-05	0
P0CX11	1.28511352151655e-05	0	1.28511352151655e-05	0
P10174	1.12095362650788e-09	1.02852957124185e-05	1.0286416666045e-05	1.02855704894016e-05
P10963	1.43659978340586e-09	0	1.43659978340586e-09	0
P11154	3.0174144139254e-06	0	3.0174144139254e-06	3.01534609396192e-06
P11412	6.53836049119481e-10	2.66856658310949e-07	2.67510494360069e-07	2.66918165659239e-07
P12695	5.30604357776221e-10	1.02779301280298e-06	1.02832361716076e-06	1.0279578876016e-06
P12709	1.88587717534947e-08	2.15419012433844e-06	2.17304889609193e-06	2.15473731499812e-06
P14540	3.2928555916635e-08	4.57256097812278e-05	4.57585383371444e-05	4.57302076171741e-05
P15019	3.06720246076201e-08	1.5655654792057e-06	1.59623750381332e-06	1.56592991600343e-06
P16387	1.32830131794757e-08	1.41646421937165e-05	1.4177925206896e-05	1.41669144338467e-05
P16451	5.30604357776221e-10	1.02779301280298e-06	1.02832361716076e-06	1.0279578876016e-06
P16467	2.69370960251868e-06	0	2.69370960251868e-06	0
P16861	4.59068883418582e-08	0	4.59068883418582e-08	0
P16862	3.70459193349575e-08	4.12647095672775e-06	4.16351687606271e-06	4.1631194176471e-06
P17505	3.19835244829886e-08	2.13961147927853e-06	2.17159500376151e-06	2.1401932453504e-06
P17709	6.84807999124049e-07	0	6.84807999124049e-07	0
P19414	1.38095288618916e-08	2.93315897808535e-06	2.94696850694725e-06	2.93381511108158e-06
P19516	8.36416937456803e-09	0	8.36416937456803e-09	0
P20967	2.19296763570805e-08	1.46389262326443e-05	1.46608559090014e-05	1.46568095363765e-05
P21306	2.32248040025036e-09	2.57912714055057e-05	2.57935938859059e-05	2.57915109210871e-05
P21801	6.39060139680037e-10	1.85779961584094e-06	1.85843867598062e-06	1.85807592117187e-06
P21826	2.57598309306134e-08	0	2.57598309306134e-08	0
P21954	2.17730358116719e-08	1.49964930418754e-05	1.50182660776871e-05	1.50142486077238e-05
P22289	3.71893808969777e-09	3.24218717796476e-05	3.24255907177373e-05	3.24229233381817e-05
P23254	9.32483082773281e-07	3.04273062884926e-07	1.23675614565821e-06	1.22154755122383e-06
P26263	1.32210693918791e-05	0	1.32210693918791e-05	0
P28240	3.74713388149061e-08	0	3.74713388149061e-08	1.26851528218619e-09
P30902	2.32248040025036e-09	2.57912714055057e-05	2.57935938859059e-05	2.57915109210871e-05
P30952	2.57615454351066e-08	0	2.57615454351066e-08	8.72104256503006e-10
P32327	3.0170873800604e-06	0	3.0170873800604e-06	0
P32340	2.55143964765499e-07	6.06353508542576e-06	6.31867905019126e-06	6.318091035374e-06
P32473	1.32830131794757e-08	1.41646421937165e-05	1.4177925206896e-05	1.41669144338467e-05
P32799	1.12095362650788e-09	1.02852957124185e-05	1.0286416666045e-05	1.02855704894016e-05
P33315	9.17274488312907e-07	0	9.17274488312907e-07	0
P33401	1.77856001776003e-08	0	1.77856001776003e-08	0
P33421	6.39060139680037e-10	1.85779961584094e-06	1.85843867598062e-06	1.85807592117187e-06
P37012	1.77921970743671e-08	0	1.77921970743671e-08	0
P37298	6.39060139680037e-10	1.85779961584094e-06	1.85843867598062e-06	1.85807592117187e-06
P37299	3.71893808969777e-09	3.24218717796476e-05	3.24255907177373e-05	3.24229233381817e-05
P38077	2.32248040025036e-09	2.57912714055057e-05	2.57935938859059e-05	2.57915109210871e-05
P38113	4.30712102562097e-08	0	4.30712102562097e-08	0
P38720	2.96649648846927e-06	1.56520690543325e-06	4.53170339390252e-06	4.52140598725733e-06
P38824	8.36416937456803e-09	0	8.36416937456803e-09	0
P38858	1.72998676911835e-06	1.51980773139876e-05	1.6928064083106e-05	1.68905815229167e-05
P40047	1.65487002538324e-08	0	1.65487002538324e-08	0
P40106	6.7622430808392e-09	0	6.7622430808392e-09	0
P40215	2.03187515411971e-07	0	2.03187515411971e-07	0
P41277	6.75682510285649e-09	0	6.75682510285649e-09	0
P41911	6.65252631548631e-10	0	6.65252631548631e-10	0
P42222	1.28551824147188e-05	0	1.28551824147188e-05	1.28314576927364e-05
P43635	2.48718987673238e-06	0	2.48718987673238e-06	0
P46367	1.6541189093065e-08	0	1.6541189093065e-08	0
P46969	4.3455523629025e-08	7.42386195017144e-07	7.85841718646169e-07	7.42614810876162e-07
P47052	7.05938231164412e-08	0	7.05938231164412e-08	0
P47081	8.36416937456803e-09	0	8.36416937456803e-09	0
P47771	1.78226022583895e-08	0	1.78226022583895e-08	0
P52489	1.72475229155939e-06	0	1.72475229155939e-06	0
P52910	3.0909671711778e-07	4.19438876454398e-07	7.28535593572178e-07	7.27031990384615e-07
P53239	8.36416937456803e-09	0	8.36416937456803e-09	0
P53312	2.59690285032724e-09	2.02515428800296e-06	2.02775119085329e-06	2.02719153478957e-06
P53315	1.69250420892903e-06	0	1.69250420892903e-06	0
P53319	2.95619908182408e-06	0	2.95619908182408e-06	0
P53598	2.59690285032724e-09	2.02515428800296e-06	2.02775119085329e-06	2.02719153478957e-06
P54115	3.83398201215375e-08	9.60380962104076e-06	9.6421494411623e-06	9.63788467575758e-06
P61829	2.32249526421492e-09	2.57914364706991e-05	2.57937589659633e-05	2.57916759878134e-05
P81449	2.32248040025036e-09	2.57912714055057e-05	2.57935938859059e-05	2.57915109210871e-05
P81450	2.32248040025036e-09	2.57912714055057e-05	2.57935938859059e-05	2.57915109210871e-05
P81451	2.32248040025036e-09	2.57912714055057e-05	2.57935938859059e-05	2.57915109210871e-05
Q00055	6.67846307806774e-10	0	6.67846307806774e-10	0
Q00711	5.41929828170109e-08	1.80431953095516e-06	1.85851251377218e-06	1.85807592117187e-06
Q01519	1.12095362650788e-09	1.02852957124185e-05	1.0286416666045e-05	1.02855704894016e-05
Q01574	3.07593113930217e-07	0	3.07593113930217e-07	0
Q04458	1.73163505834308e-08	0	1.73163505834308e-08	0
Q04935	8.36416937456803e-09	0	8.36416937456803e-09	0
Q06204	3.0543218004111e-08	0	3.0543218004111e-08	0
Q06405	2.32248040025036e-09	2.57912714055057e-05	2.57935938859059e-05	2.57915109210871e-05
Q07500	2.54562704991696e-07	0	2.54562704991696e-07	0
