enzymes	ranges	minU	maxU	pU
P00127	4.89476620056005e-09	2.68364036130611e-05	2.68412983792617e-05	2.68378055556004e-05
P00128	4.89476620056005e-09	2.68364036130611e-05	2.68412983792617e-05	2.68378055556004e-05
P00163	4.89476620056005e-09	2.68364036130611e-05	2.68412983792617e-05	2.68378055556004e-05
P00330	5.81751693264382e-08	3.13820717411137e-06	3.19638234343781e-06	3.15611254406863e-06
P00358	1.48243497795216e-05	0	1.48243497795216e-05	0
P00359	0.000163605086816055	0	0.000163605086816055	0.000163563574340276
P00360	0.000163589984639066	0	0.000163589984639066	0
P00401	1.55277370457536e-09	8.51335082173532e-06	8.5149035954399e-06	8.51379556197851e-06
P00410	1.55277370457536e-09	8.51335082173532e-06	8.5149035954399e-06	8.51379556197851e-06
P00420	1.55277370457536e-09	8.51335082173532e-06	8.5149035954399e-06	8.51379556197851e-06
P00425	1.55280408323075e-09	8.51335079135667e-06	8.5149035954399e-06	8.51379556197851e-06
P00427	1.55280408323075e-09	8.51335079135667e-06	8.5149035954399e-06	8.51379556197851e-06
P00549	2.28075527840338e-06	1.45891661297603e-05	1.68699214081637e-05	1.68693096652848e-05
P00560	3.40564039382361e-08	7.48898459143967e-06	7.5230409953779e-06	7.48987186108826e-06
P00830	3.80586819527114e-09	2.13237385570491e-05	2.13275444252443e-05	2.13242221013072e-05
P00854	3.80584383771727e-09	2.13236020851223e-05	2.132740792896e-05	2.13240856262858e-05
P00856	3.80584383771727e-09	2.13236020851223e-05	2.132740792896e-05	2.13240856262858e-05
P00890	2.22046415207244e-06	0	2.22046415207244e-06	2.2195698972379e-06
P00924	4.60688171136725e-08	0	4.60688171136725e-08	0
P00925	4.59289380419866e-08	0	4.59289380419866e-08	0
P00942	5.54076643557192e-08	2.30593711560323e-07	2.86001375916042e-07	2.30621197714458e-07
P00950	5.45756920000667e-08	6.97801741358623e-06	7.0325931055863e-06	6.97884414556609e-06
P04037	1.55280408323075e-09	8.51335079135667e-06	8.5149035954399e-06	8.51379556197851e-06
P04039	3.10560816646149e-09	1.70267015827133e-05	1.70298071908798e-05	1.7027591123957e-05
P04385	0	0	0	0
P04397	1.8977333522512e-08	0	1.8977333522512e-08	0
P04806	9.05324515233825e-07	7.78528205671855e-06	8.69060657195237e-06	8.69060657195237e-06
P04807	5.10058712654138e-08	0	5.10058712654138e-08	0
P05626	3.80584383771727e-09	2.13236020851223e-05	2.132740792896e-05	2.13240856262858e-05
P06169	1.74796650108428e-05	3.18114393637663e-05	4.92911043746091e-05	4.92898650165876e-05
P07143	4.89476620056005e-09	2.68364036130611e-05	2.68412983792617e-05	2.68378055556004e-05
P07170	9.68804212910345e-07	0	9.68804212910345e-07	0
P07251	3.80586819527114e-09	2.13237385570491e-05	2.13275444252443e-05	2.13242221013072e-05
P07255	1.55277370457536e-09	8.51335082173532e-06	8.5149035954399e-06	8.51379556197851e-06
P07256	4.89476620056005e-09	2.68364036130611e-05	2.68412983792617e-05	2.68378055556004e-05
P07257	4.89476620056005e-09	2.68364036130611e-05	2.68412983792617e-05	2.68378055556004e-05
P08067	4.89476620056005e-09	2.68364036130611e-05	2.68412983792617e-05	2.68378055556004e-05
P08417	2.8018528116453e-08	2.89471250705383e-07	3.17489778821836e-07	2.89570331992479e-07
P08431	3.50106857647245e-08	0	3.50106857647245e-08	0
P08525	4.89476620056005e-09	2.68364036130611e-05	2.68412983792617e-05	2.68378055556004e-05
P09201	1.24007969842106e-09	0	1.24007969842106e-09	0
P09457	3.80584383771727e-09	2.13236020851223e-05	2.132740792896e-05	2.13240856262858e-05
P09624	1.80722701643035e-08	1.19080482471016e-05	1.19261205172659e-05	1.19114399026927e-05
P0CX10	1.75028789159643e-05	0	1.75028789159643e-05	0
P0CX11	1.75028789159643e-05	0	1.75028789159643e-05	0
P10174	1.55280408323075e-09	8.51335079135667e-06	8.5149035954399e-06	8.51379556197851e-06
P10963	2.28910238575688e-09	0	2.28910238575688e-09	0
P11154	3.24603192804928e-06	0	3.24603192804928e-06	3.24380254868673e-06
P11412	8.81072693795015e-10	2.97017735217363e-07	2.97898807911158e-07	2.97115742154577e-07
P12695	6.89412375978946e-10	8.64085931922626e-07	8.64775344298605e-07	8.64299608629788e-07
P12709	2.49315259427412e-08	2.955563988817e-06	2.98049551475974e-06	2.95628738153344e-06
P14540	4.34941638750619e-08	6.27717379750685e-05	6.28152321389436e-05	6.2777778582098e-05
P15019	4.0647700485854e-08	1.74309198638153e-06	1.78373968686738e-06	1.7436726866612e-06
P16387	1.80722701643035e-08	1.19080482471016e-05	1.19261205172659e-05	1.19114399026927e-05
P16451	6.89412375978946e-10	8.64085931922626e-07	8.64775344298605e-07	8.64299608629788e-07
P16467	3.56111690165996e-06	0	3.56111690165996e-06	0
P16861	6.06894654953143e-08	0	6.06894654953143e-08	0
P16862	4.89751565490255e-08	5.66662141153965e-06	5.71559656808867e-06	5.71507112322252e-06
P17505	4.21672250712683e-08	1.57354382605079e-06	1.61571105112206e-06	1.57417036688368e-06
P17709	9.05324515233823e-07	0	9.05324515233823e-07	0
P19414	1.82563653442489e-08	2.18772301651624e-06	2.20597938186049e-06	2.18859195031204e-06
P19516	1.10575337819713e-08	0	1.10575337819713e-08	0
P20967	2.89912992290927e-08	1.07563199173297e-05	1.07853112165588e-05	1.07801636463949e-05
P21306	3.80584383771727e-09	2.13236020851223e-05	2.132740792896e-05	2.13240856262858e-05
P21801	7.73173658052533e-10	1.3662624522357e-06	1.36703562589375e-06	1.36664520571006e-06
