enzymes	ranges	minU	maxU	pU
P00127	4.37263735726586e-09	3.154487162986e-05	3.15492442672173e-05	3.15459492586596e-05
P00128	4.37263735726586e-09	3.154487162986e-05	3.15492442672173e-05	3.15459492586596e-05
P00163	4.37263735726586e-09	3.154487162986e-05	3.15492442672173e-05	3.15459492586596e-05
P00330	4.5101831434227e-08	2.01961049705815e-06	2.06471232849238e-06	2.03349227445085e-06
P00358	1.14929674053118e-05	0	1.14929674053118e-05	0
P00359	0.000124312542682085	0	0.000124312542682085	0.000124280359042456
P00360	0.000124301067549752	0	0.000124301067549752	0
P00401	1.38713802249321e-09	1.00070248861849e-05	1.00084120242074e-05	1.00073667439151e-05
P00410	1.38713802249321e-09	1.00070248861849e-05	1.00084120242074e-05	1.00073667439151e-05
P00420	1.38713802249321e-09	1.00070248861849e-05	1.00084120242074e-05	1.00073667439151e-05
P00425	1.20960962210304e-09	1.0007024862676e-05	1.00082344722981e-05	1.00073667439151e-05
P00427	1.20960962210304e-09	1.0007024862676e-05	1.00082344722981e-05	1.00073667439151e-05
P00549	1.76821594477998e-06	1.09576105927597e-05	1.27258265375397e-05	1.27253518915783e-05
P00560	2.62864790692388e-08	5.68406035076796e-06	5.7103468298372e-06	5.68463158532917e-06
P00830	1.32932556785921e-09	2.50952561433165e-05	2.50965854688844e-05	2.50953707170254e-05
P00854	1.32931706017897e-09	2.50950955336772e-05	2.50964248507374e-05	2.50952101066528e-05
P00856	1.32931706017897e-09	2.50950955336772e-05	2.50964248507374e-05	2.50952101066528e-05
P00890	2.54987504542365e-06	3.12378221890853e-07	2.8622532673145e-06	2.86155589025773e-06
P00924	3.5716063190887e-08	0	3.5716063190887e-08	0
P00925	3.56076182583616e-08	0	3.56076182583616e-08	0
P00942	4.29563071725052e-08	1.77039018720219e-07	2.19995325892725e-07	1.77060384904037e-07
P00950	4.22025558556399e-08	5.29624164975202e-06	5.33844420560766e-06	5.29677390945515e-06
P04037	1.20960962210304e-09	1.0007024862676e-05	1.00082344722981e-05	1.00073667439151e-05
P04039	2.41921924420607e-09	2.00140497253519e-05	2.00164689445961e-05	2.00147334878301e-05
P04385	0	0	0	0
P04397	1.47126773760653e-08	0	1.47126773760653e-08	0
P04806	7.01876662363046e-07	6.05371004439679e-06	6.75558670675983e-06	6.75558670675983e-06
P04807	3.95436443864284e-08	0	3.95436443864284e-08	0
P05626	1.32931706017897e-09	2.50950955336772e-05	2.50964248507374e-05	2.50952101066528e-05
P06169	1.35517788056449e-05	1.93877187731192e-05	3.29394975787641e-05	3.2938330804394e-05
P07143	4.37263735726586e-09	3.154487162986e-05	3.15492442672173e-05	3.15459492586596e-05
P07170	7.51090969028567e-07	0	7.51090969028567e-07	0
P07251	1.32932556785921e-09	2.50952561433165e-05	2.50965854688844e-05	2.50953707170254e-05
P07255	1.38713802249321e-09	1.00070248861849e-05	1.00084120242074e-05	1.00073667439151e-05
P07256	4.37263735726586e-09	3.154487162986e-05	3.15492442672173e-05	3.15459492586596e-05
P07257	4.37263735726586e-09	3.154487162986e-05	3.15492442672173e-05	3.15459492586596e-05
P08067	4.37263735726586e-09	3.154487162986e-05	3.15492442672173e-05	3.15459492586596e-05
P08417	2.16447801232113e-08	6.21906630321887e-06	6.24071108334208e-06	6.21906630321887e-06
P08431	2.71429557664641e-08	0	2.71429557664641e-08	0
P08525	4.37263735726586e-09	3.154487162986e-05	3.15492442672173e-05	3.15459492586596e-05
P09201	2.08868884428813e-09	0	2.08868884428813e-09	0
P09457	1.32931706017897e-09	2.50950955336772e-05	2.50964248507374e-05	2.50952101066528e-05
P09624	1.35916877071169e-08	1.37785839033432e-05	1.37921755910503e-05	1.37808910626784e-05
P0CX10	1.3284772850098e-05	0	1.3284772850098e-05	0
P0CX11	1.3284772850098e-05	0	1.3284772850098e-05	0
P10174	1.20960962210304e-09	1.0007024862676e-05	1.00082344722981e-05	1.00073667439151e-05
P10963	1.77609456505971e-09	0	1.77609456505971e-09	0
P11154	3.01746046504123e-06	0	3.01746046504123e-06	3.01534634870503e-06
P11412	6.67512863116031e-10	2.66855126214578e-07	2.67522639077694e-07	2.66918165659239e-07
P12695	5.08837829351782e-10	9.99810454299254e-07	1.00031929212861e-06	9.99947852597575e-07
P12709	1.92304726309664e-08	2.22700074047118e-06	2.24623121310215e-06	2.22746322055953e-06
P14540	3.3753495709313e-08	4.72583292945607e-05	4.729208279027e-05	4.72630459343915e-05
P15019	3.13561233308972e-08	1.565636789313e-06	1.59699291264389e-06	1.56592991600343e-06
P16387	1.35916877071169e-08	1.37785839033432e-05	1.37921755910503e-05	1.37808910626784e-05
P16451	5.08837829351782e-10	9.99810454299254e-07	1.00031929212861e-06	9.99947852597575e-07
P16467	2.7608496215359e-06	0	2.7608496215359e-06	0
P16861	4.70511057256532e-08	0	4.70511057256532e-08	0
P16862	3.79697065296653e-08	4.26510178471652e-06	4.30307149124619e-06	4.3026636990976e-06
P17505	3.26913108397342e-08	2.05524594180275e-06	2.08793725264249e-06	2.05575063290733e-06
