ProteinId	GeneSymbol	glucose
Protein Id	Gene Symbol	NaN
		126
YLR055C	SPT8	2412.96
YIL022W	TIM44	10266
YER004W	FMP52	4279.79
YKL164C	PIR1	734.251
YJL159W	HSP150	3138.89
YJL158C	CIS3	4237.14
YKL163W	PIR3	187.497
YER153C	PET122	476.886
YLR386W	VAC14	5239.83
YGL169W	SUA5	4088.71
YML048W	GSF2	14765.4
YDR298C	ATP5	4675.36
YPR041W	TIF5	23352.9
YLR045C	STU2	9627.28
YMR288W	HSH155	5616.86
YLR209C	PNP1	3059.71
YDR163W	CWC15	2868.38
YOR057W	SGT1	7947.04
YCL017C	NFS1	4894.82
YGR254W	ENO1	126916
YHR174W	ENO2	123441
YER023W	PRO3	15322.5
YDR487C	RIB3	8801.68
YLR059C	REX2	2535.62
YFL041W	FET5	2413.43
YMR108W	ILV2	24744.6
YDR414C	ERD1	538.882
YML081C-A	ATP18	655.839
YKR009C	FOX2	4223.23
YDR408C	ADE8	6060.38
YKR097W	PCK1	3330.39
YOR230W	WTM1	6816.78
YCL043C	PDI1	43242.7
YOR141C	ARP8	8726.84
YJL012C	VTC4	16271.6
YFR033C	QCR6	974.844
YDL078C	MDH3	5097.71
YML079W	YML079W	5193.57
YDL045C	FAD1	1642.4
YMR116C	ASC1	53534.2
YBR208C	DUR1,2	9156.31
YPL053C	KTR6	4230.17
YJL024C	APS3	1545.27
YDR116C	MRPL1	3041.67
YGR231C	PHB2	4079.89
YDL130W	RPP1B	4153.98
YDR272W	GLO2	5321.46
YCL028W	RNQ1	2452.54
YCR004C	YCP4	5181.87
YDR032C	PST2	3616.13
YBL107C	YBL107C	1457.47
YMR142C	RPL13B	38275.6
YKL141W	SDH3	699.217
YPL249C	GYP5	6702.86
YLR355C	ILV5	46489.9
YHR119W	SET1	4911.15
YPL214C	THI6	853.305
YPL014W	YPL014W	233.427
YBL072C	RPS8A	20439.6
YLR447C	VMA6	8715.21
YLR051C	FCF2	11141.8
YMR213W	CEF1	3841.46
YPR113W	PIS1	3392.07
YCL026C-B	HBN1	1619.5
YGR282C	BGL2	6054.38
YDR381W	YRA1	15656
YGR236C	SPG1	255.308
YNL232W	CSL4	4371.5
YNL159C	ASI2	1791.85
YNL169C	PSD1	5165.11
YGL082W	YGL082W	3442.85
YDR174W	HMO1	3734.09
YDR176W	NGG1	5684.19
YPR058W	YMC1	1892.74
YER091C	MET6	83404.8
YER070W	RNR1	35201.6
YIL066C	RNR3	1281.49
YER052C	HOM3	13045.4
YLR363W-A	YLR363W-A	799.068
YPL096W	PNG1	2988.62
YDR348C	YDR348C	4915.95
YCL004W	PGS1	1645.63
YLR427W	MAG2	3186.29
YHR097C	YHR097C	2147.21
YPR189W	SKI3	26500.8
YJL133W	MRS3	964.425
YKR052C	MRS4	882.31
YJR051W	OSM1	5288.3
YJL186W	MNN5	11536.2
YPL132W	COX11	1757.92
YNL141W	AAH1	12897.5
YGR100W	MDR1	5524.66
YDL143W	CCT4	17845.6
YNL302C	RPS19B	36182.2
YLR351C	NIT3	4975.1
YNR037C	RSM19	2109.9
YBR234C	ARC40	4155.55
YIL142W	CCT2	26229.7
YBR162C	TOS1	3479.07
YDL128W	VCX1	636.37
YDR088C	SLU7	3901.46
YGL130W	CEG1	4972.81
YNR046W	TRM112	1942.35
YML076C	WAR1	3251.51
YOR358W	HAP5	1057.77
YLR330W	CHS5	9272.62
YEL026W	SNU13	7587.98
YDR099W	BMH2	26405.4
YER177W	BMH1	2845.86
YML013W	UBX2	3253.58
YMR042W	ARG80	162.311
YGR063C	SPT4	2329.82
YGL211W	NCS6	1944.74
YGR012W	YGR012W	7133.95
YER006W	NUG1	16424.3
YGR168C	YGR168C	161.888
YKR028W	SAP190	6873.95
YCL014W	BUD3	14025.2
YGL238W	CSE1	11449.8
YGL254W	FZF1	1992.36
YLR143W	YLR143W	4387.67
YDR109C	YDR109C	2813.58
YNL283C	WSC2	779.938
YNL255C	GIS2	11141
YLR262C-A	TMA7	6530.84
YMR148W	OSW5	434.752
YMR216C	SKY1	6161.74
YDR080W	VPS41	6313.87
YLL021W	SPA2	29303.6
YBR295W	PCA1	412.803
YGR108W	CLB1	572.428
YPR119W	CLB2	1633.38
YJL136C	RPS21B	14084.9
YKR057W	RPS21A	224.98
YML069W	POB3	16998.2
YCR035C	RRP43	7497.73
YDR391C	YDR391C	2347.17
YNL121C	TOM70	22611.1
YER048C	CAJ1	13929.9
YJL100W	LSB6	920.062
YDR361C	BCP1	9175.79
YGR127W	YGR127W	1305.94
YFR039C	YFR039C	4208.02
YGR279C	SCW4	7277.79
YDR261C	EXG2	5073.94
YDL064W	UBC9	5690.15
YCL034W	LSB5	2784.76
YNL004W	HRB1	5700.11
YMR244C-A	YMR244C-A	1397.55
YNL092W	YNL092W	234.989
YOL042W	NGL1	933.031
YOR098C	NUP1	12515.9
YGR067C	YGR067C	439.678
YGR152C	RSR1	4901.49
YPL049C	DIG1	7845.84
YPR163C	TIF3	33331.3
YPL111W	CAR1	4424.42
YDR248C	YDR248C	2736.18
YLR152C	YLR152C	61.0028
YOR327C	SNC2	1980.04
YAL030W	SNC1	1844.75
YNL195C	YNL195C	180.377
YEL047C	YEL047C	11433.6
YMR215W	GAS3	5766.39
YDR411C	DFM1	1501.19
YBR154C	RPB5	8742.13
YPL223C	GRE1	158.742
YCL025C	AGP1	1580.5
YDR508C	GNP1	8383.96
YPR084W	YPR084W	1025.32
YNL078W	NIS1	831.776
YCR031C	RPS14A	16275.9
YHL024W	RIM4	414.994
YGR122W	YGR122W	2122.43
YHR116W	COX23	639.291
YOR008C	SLG1	2096.28
YGL172W	NUP49	4468.15
YOR355W	GDS1	2820.38
YIL048W	NEO1	7742.68
YKR089C	TGL4	4711.62
YOR081C	TGL5	1680.78
YMR189W	GCV2	6714.38
YOR056C	NOB1	11588.9
YPR047W	MSF1	1288.48
YJL167W	ERG20	15694.2
YLR150W	STM1	28883.4
YMR027W	YMR027W	12415.9
YOR367W	SCP1	3027.47
YBR023C	CHS3	16452.3
YGR124W	ASN2	27243.7
YPR145W	ASN1	18908.9
YBR072W	HSP26	2950.46
YHR008C	SOD2	2416.57
YDR409W	SIZ1	1937.05
YGL004C	RPN14	3083.23
YOR256C	TRE2	1416.97
YGL011C	SCL1	7833.02
YPL169C	MEX67	8578.33
YNL069C	RPL16B	20103
YIL133C	RPL16A	23492.9
YHR001W	OSH7	8519.67
YKR003W	OSH6	8040.16
YDR530C	APA2	1680.89
YPL208W	RKM1	5606.72
YHL034C	SBP1	13687.4
YDR372C	VPS74	5314.7
YML098W	TAF13	1275.02
YLR364W	GRX8	661.589
YER142C	MAG1	1938.67
YKR023W	YKR023W	4837.43
YDR354W	TRP4	5634.6
YCR090C	YCR090C	2455.05
YJL178C	ATG27	5629.7
YKL061W	BLI1	1336.6
YKL079W	SMY1	6090.21
YMR234W	RNH1	2936.93
YNL192W	CHS1	5355.29
YHR027C	RPN1	33259.6
YML078W	CPR3	7427.08
YDR155C	CPR1	28974.5
YFR047C	BNA6	2448.78
YKR045C	YKR045C	61.588
YCL045C	EMC1	15434.6
YLR275W	SMD2	1368.19
YFR016C	YFR016C	18425.8
YNL267W	PIK1	7036.16
YDL234C	GYP7	3415.02
YLR377C	FBP1	2360.72
YDR179C	CSN9	392.065
YPR161C	SGV1	9245.8
YLR192C	HCR1	13955.7
YGL144C	ROG1	862.2
YMR291W	TDA1	3420.53
YIL162W	SUC2	2829.8
YOL123W	HRP1	10179
YAL039C	CYC3	1561.84
YIL051C	MMF1	9935.07
YER057C	HMF1	3378.51
YGL161C	YIP5	696.438
YNL094W	APP1	912.7
YOR209C	NPT1	13529.2
YBL066C	SEF1	2074.16
YOR287C	RRP36	4620.86
YKR076W	ECM4	1548.39
YLR340W	RPP0	67830.8
YPR110C	RPC40	10409.8
YDL204W	RTN2	1141.33
YKL032C	IXR1	5780.15
YJL104W	PAM16	3529.14
YGL065C	ALG2	5504.38
YJR069C	HAM1	8331.87
YHR028C	DAP2	6893.65
YOR084W	LPX1	358.204
YNL118C	DCP2	16101.9
YLR412W	BER1	1474.1
YER031C	YPT31	9258.33
YGL210W	YPT32	2125.14
YMR204C	INP1	311.269
YLR149C	YLR149C	939.205
YIL019W	FAF1	1963.42
YLR193C	UPS1	395.556
YNL275W	BOR1	540.367
YJR144W	MGM101	4284.06
YOL135C	MED7	777.189
YPL061W	ALD6	40778.1
YML085C	TUB1	12962.7
YML124C	TUB3	4810.53
YOR324C	FRT1	1464.82
YNL256W	FOL1	6606.55
YJR034W	PET191	4401.03
YGR163W	GTR2	2110.02
YNL246W	VPS75	4176.99
YER056C-A	RPL34A	15202.6
YDL001W	RMD1	2384.05
YDL167C	NRP1	8858.98
YJL210W	PEX2	479.312
YBR247C	ENP1	10335.4
YNL080C	EOS1	921.966
YOL040C	RPS15	19791.2
YDL010W	GRX6	1572.34
YFR024C-A	LSB3	5421.68
YHR016C	YSC84	1646.01
YLR033W	RSC58	3937.69
YMR004W	MVP1	5306.66
YOR085W	OST3	2969.8
YJL096W	MRPL49	1659.64
YGL106W	MLC1	9513.98
YCL050C	APA1	20104.6
YBR125C	PTC4	3733.57
YMR250W	GAD1	2515
YJL165C	HAL5	4968.17
YBR133C	HSL7	5284.61
YMR203W	TOM40	3793.94
YHR159W	TDA11	2193.94
YIL047C	SYG1	4962.46
YDL224C	WHI4	3510.02
YBL098W	BNA4	2896.49
YCL012C	YCL012C	2875.66
YMR178W	YMR178W	9863.46
YPL023C	MET12	6550.7
YBR151W	APD1	4191.1
YDR514C	YDR514C	2184.11
YPL239W	YAR1	2023.34
YPR088C	SRP54	12080.1
YKL080W	VMA5	16699.7
YCL001W	RER1	6234.08
YJL068C	YJL068C	3155.57
YBR101C	FES1	7322.55
YLL058W	YLL058W	4128.8
YPR034W	ARP7	8653.21
YKR026C	GCN3	3879.77
YPR033C	HTS1	22349.8
YMR040W	YET2	160.842
YPL180W	TCO89	5361.07
YPL254W	HFI1	2288.56
YGR200C	ELP2	10915.7
YER105C	NUP157	19931.1
YNR015W	SMM1	3674.57
YDR450W	RPS18A	30142.7
YBR227C	MCX1	8768.88
YBR043C	QDR3	809.005
YER125W	RSP5	13819.4
YFL039C	ACT1	53075
YBR041W	FAT1	7328.48
YKR093W	PTR2	2587.91
YPL020C	ULP1	4449.07
YJR125C	ENT3	9229.61
YNL059C	ARP5	7572.17
YBR058C	UBP14	6818.68
YGL163C	RAD54	453.686
YNL189W	SRP1	12697.7
YGL059W	PKP2	744.771
YNR034W-A	YNR034W-A	858.207
YMR314W	PRE5	6181.16
YLR182W	SWI6	4058.6
YDR405W	MRP20	2009.65
YGL123W	RPS2	26343.6
YPL013C	MRPS16	969.7
YLR274W	MCM5	6084.89
YBL023C	MCM2	10401
YDR189W	SLY1	10742.7
YNR050C	LYS9	13943
YDR147W	EKI1	4992.36
YDR072C	IPT1	1392.24
YBR202W	MCM7	6318.09
YJR133W	XPT1	3932.77
YHR073W	OSH3	5869.14
YBR106W	PHO88	20232
YOL025W	LAG2	1412.93
YNL152W	INN1	1836.04
YNL098C	RAS2	11534
YOR101W	RAS1	7513.9
YJR048W	CYC1	1711.73
YEL039C	CYC7	773.901
YGL164C	YRB30	4534.02
YKL024C	URA6	7722.26
YPL037C	EGD1	13041.8
YJR055W	HIT1	1658.92
YLR421C	RPN13	6443.1
YHR063C	PAN5	10786.5
YFR038W	IRC5	8255.17
YBR118W	TEF2	147725
YAL059W	ECM1	5707.29
YLR262C	YPT6	5271.62
YFL038C	YPT1	10259.7
YFL005W	SEC4	7144.05
YDL190C	UFD2	10485.8
YLR196W	PWP1	18643.5
YOR043W	WHI2	2145.95
YIL123W	SIM1	5263.21
YNL066W	SUN4	2240.76
YGL194C	HOS2	1109.49
YBR204C	LDH1	1504.56
YLR243W	YLR243W	1151.75
YGL039W	YGL039W	5015.15
YGL157W	ARI1	12303.3
YNL220W	ADE12	12893
YOR386W	PHR1	1705.11
YGL037C	PNC1	4249.54
YLR007W	NSE1	755.456
YPR133W-A	TOM5	1399.09
YDL047W	SIT4	4736.2
YPR149W	NCE102	1569.39
YOR267C	HRK1	7620.99
YDR475C	JIP4	3112.54
YHR009C	TDA3	5299.59
YPL133C	RDS2	1091.76
YDR384C	ATO3	1037.23
YOL058W	ARG1	7770.46
YIL099W	SGA1	494.085
YHR132C	ECM14	5141.57
YPR003C	YPR003C	224.781
YJR050W	ISY1	4248.62
YGL001C	ERG26	4356.22
YMR005W	TAF4	7094.95
YHR112C	YHR112C	1616.61
YPR159W	KRE6	6217.04
YGR143W	SKN1	1705.12
YDR400W	URH1	2354.12
YER136W	GDI1	11938.3
YBR222C	PCS60	5583.17
YLR027C	AAT2	11011.5
YNL185C	MRPL19	3163.93
YOL013C	HRD1	1086.78
YML012W	ERV25	5632.49
YLR069C	MEF1	6060
YBR087W	RFC5	4923.49
YGL231C	EMC4	6480.69
YOR348C	PUT4	232.552
YBL056W	PTC3	5654.75
YER089C	PTC2	9187.99
