ProteinId	GeneSymbol	glucose
YGR253C	PUP2	6210.2
Q0250	COX2	707.793
YGL129C	RSM23	5483.44
YLL033W	IRC19	624.819
YOR329C	SCD5	2109.84
YGL075C	MPS2	1170.67
YOL039W	RPP2A	10168.1
YMR077C	VPS20	1973.98
YMR278W	PGM3	7297.42
YGL050W	TYW3	4020.99
YGR250C	YGR250C	3479.74
YOR171C	LCB4	8540.52
YCR057C	PWP2	16244.9
YGR248W	SOL4	595.735
YOR391C	HSP33	301.938
YDR533C	HSP31	2644.29
YHR003C	YHR003C	5070.59
YMR078C	CTF18	2767.06
YBL058W	SHP1	12894.9
YJL126W	NIT2	1491.68
YJL145W	SFH5	9747.92
YOR298C-A	MBF1	10542
YHR065C	RRP3	10815.8
YHR188C	GPI16	4215.4
YLL042C	ATG10	159.692
YJL066C	MPM1	1093.48
YFL061W	DDI2	79.7686
YGR159C	NSR1	24008.5
YMR099C	YMR099C	8537.68
YOL116W	MSN1	1618.65
YDL022W	GPD1	6099.24
YOL059W	GPD2	8319.32
YMR265C	YMR265C	1196.31
YPR180W	AOS1	1603.42
YHL031C	GOS1	3341.47
Q0085	ATP6	434.625
YDR428C	BNA7	1597.95
YER126C	NSA2	3281.3
YMR091C	NPL6	7155.48
YNL191W	DUG3	1775.45
YMR185W	YMR185W	2755.75
YOR269W	PAC1	1092.32
YGL126W	SCS3	1074.01
YFR001W	LOC1	3175.43
YLR104W	LCL2	1102.47
YNL224C	SQS1	5726.15
YML030W	AIM31	983.458
YGR118W	RPS23A	15878.6
YJL020C	BBC1	13529.4
YCL031C	RRP7	7324.75
YLL038C	ENT4	1580.5
YML059C	NTE1	8681.69
YMR194W	RPL36A	12612.6
YPL249C-A	RPL36B	4522.78
YHR069C	RRP4	4786.52
YDR108W	TRS85	3469.36
YOL011W	PLB3	1482.17
YHR163W	SOL3	9363.47
YJR068W	RFC2	6646.72
YDL081C	RPP1A	1635.28
YDR382W	RPP2B	11979.3
YML012C-A	YML012C-A	533.119
YBR143C	SUP45	24340.3
YER063W	THO1	4357.07
YAL032C	PRP45	2200.23
YNR002C	ATO2	67.787
YGL005C	COG7	3050.08
YML129C	COX14	1112.16
YDR138W	HPR1	5812.15
YKL211C	TRP3	9548.56
YOL097C	WRS1	19653.5
YLR231C	BNA5	2299.74
YCL059C	KRR1	12246.1
YKL196C	YKT6	8723.77
YHR024C	MAS2	5182.99
YKL159C	RCN1	843.049
YNL124W	NAF1	3180.28
YMR235C	RNA1	17512.5
YOR280C	FSH3	4362.93
YBR071W	YBR071W	323.937
YDR333C	YDR333C	6369.06
YLR440C	SEC39	5265.08
YML127W	RSC9	6793.54
YGL180W	ATG1	2028.52
YMR144W	YMR144W	1030.21
YMR112C	MED11	2988.78
YIR038C	GTT1	1830.19
YGR271C-A	EFG1	4208.03
YGL179C	TOS3	175.928
YLR375W	STP3	1655.37
YPL094C	SEC62	9521.28
YMR290C	HAS1	20184.3
YDR079C-A	TFB5	799.155
YPR134W	MSS18	859.46
YMR097C	MTG1	914.571
YLR448W	RPL6B	34231
YML073C	RPL6A	14945.1
YDL107W	MSS2	685.031
YJL055W	YJL055W	3321.08
YLR292C	SEC72	4162.17
YJL044C	GYP6	2636.45
YDR264C	AKR1	6744.73
YML114C	TAF8	2162.99
YBR236C	ABD1	5359.12
YGR195W	SKI6	3356.92
YMR211W	DML1	2853.89
YLR085C	ARP6	1818.68
YPL088W	YPL088W	216.961
YLL050C	COF1	8669.87
YDR300C	PRO1	11172.4
YHR033W	YHR033W	244.653
YGR014W	MSB2	1024.08
YPL194W	DDC1	2588.02
YIL094C	LYS12	9369.18
YGR091W	PRP31	2216.26
YMR236W	TAF9	1690.66
YGL229C	SAP4	1183.84
YOR160W	MTR10	5270.48
YNL291C	MID1	771.439
YIR001C	SGN1	2479.27
YPL228W	CET1	5559.08
YIL114C	POR2	2922.61
YOR359W	VTS1	2669.74
YIL044C	AGE2	4829.4
YKR037C	SPC34	1984.14
YPR052C	NHP6A	3466.49
YBR089C-A	NHP6B	3264.66
YPL095C	EEB1	855.31
YBR260C	RGD1	9440.13
YIL101C	XBP1	87.9696
YDR305C	HNT2	3389.13
YMR262W	YMR262W	1381.26
YHL003C	LAG1	4003.69
YKL191W	DPH2	3923.08
YDR018C	YDR018C	201.102
YOR264W	DSE3	276.147
YGR082W	TOM20	4044.71
YER156C	YER156C	9714.97
YML036W	CGI121	3348.9
YJL010C	NOP9	13729.3
YDL165W	CDC36	4371.63
YJL098W	SAP185	6610.22
YGR077C	PEX8	1426.49
YDL052C	SLC1	8647.63
YLR191W	PEX13	2831.97
YHL002W	HSE1	3682.92
YNL077W	APJ1	1418.54
YDL025C	RTK1	1861.85
YMR087W	YMR087W	451.035
YKR038C	KAE1	3708.22
YCR060W	TAH1	1910.27
YLR373C	VID22	5418.09
YDL193W	NUS1	6344.56
YMR060C	SAM37	3689.17
YNL137C	NAM9	6294.34
YBL030C	PET9	10381.6
YMR056C	AAC1	522.039
YBR085W	AAC3	218.374
YHR043C	DOG2	3858.19
YHR044C	DOG1	6.35054
YHR062C	RPP1	1818.89
YKR068C	BET3	4965.67
YGR251W	YGR251W	737.586
YPL046C	ELC1	151.66
YJR135C	MCM22	709.428
YLL041C	SDH2	1801.58
YPR128C	ANT1	1961.69
YGL227W	VID30	2273.71
YER027C	GAL83	4106.81
YGL208W	SIP2	821.673
YGL090W	LIF1	728.761
YDR297W	SUR2	1759.88
YGR208W	SER2	3995.47
YNL165W	YNL165W	448.275
YDR519W	FPR2	3951.27
YJR096W	YJR096W	3560.62
YLR025W	SNF7	4965.3
YIL154C	IMP2'	1103.3
YPL069C	BTS1	1654.86
YJR093C	FIP1	2063.84
YNR021W	YNR021W	11249.1
YMR231W	PEP5	5821.76
YNL097C	PHO23	2201.89
YGR199W	PMT6	2540.88
YBL095W	YBL095W	395.23
YGR211W	ZPR1	20368.7
YDL061C	RPS29B	13212.4
YLR388W	RPS29A	3771.81
YGR156W	PTI1	3043.24
YBL081W	YBL081W	1387.89
YMR268C	PRP24	2509.7
YKR016W	FCJ1	3600.9
YBR123C	TFC1	7135.21
YER053C	PIC2	953.881
YDR214W	AHA1	5214.45
YNL073W	MSK1	3004.25
YLR426W	TDA5	170.64
YOR113W	AZF1	2517.5
YNL310C	ZIM17	2102.46
YER118C	SHO1	1851.33
YML005W	TRM12	2622.58
YNL216W	RAP1	11317.2
YDR287W	INM2	1589.76
YOL093W	TRM10	5985.15
YCR036W	RBK1	5353.71
YCR059C	YIH1	1993.58
YLR220W	CCC1	2468.15
YER059W	PCL6	1556.95
YIL050W	PCL7	590.544
YER020W	GPA2	1396.98
YLR017W	MEU1	5519.35
YLL019C	KNS1	372.01
YDR192C	NUP42	1612.88
YEL056W	HAT2	4248.3
YDR085C	AFR1	81.2641
YPL154C	PEP4	5721.31
YMR305C	SCW10	3979.3
YIL140W	AXL2	7396.59
YLR004C	THI73	24.4904
YBR230W-A	YBR230W-A	355.862
YPL120W	VPS30	3339.03
YAL024C	LTE1	4324.08
YLR370C	ARC18	3351.58
YGR065C	VHT1	1853.69
YGL186C	TPN1	99.6439
YER167W	BCK2	1236.64
YCR003W	MRPL32	393.44
YLR132C	YLR132C	1268.52
YOL073C	YOL073C	1005.12
YOR123C	LEO1	5032.95
YHR049W	FSH1	9496.75
YNL292W	PUS4	8011.63
YIL039W	TED1	6469.73
YGL017W	ATE1	3466.02
YBR053C	YBR053C	5525.69
YLR034C	SMF3	1965.09
YGL063W	PUS2	132.358
YOR385W	YOR385W	1311.81
YNL223W	ATG4	698.836
YLR429W	CRN1	17089.2
YIL008W	URM1	143.333
YNL229C	URE2	4189.47
YPL042C	SSN3	2617.94
YCR084C	TUP1	13681.1
YNL186W	UBP10	9744.09
YDL017W	CDC7	2797.31
YCR020C	PET18	206.57
YJR077C	MIR1	3863.05
YMR069W	NAT4	522.432
YGL124C	MON1	1917.17
YIL121W	QDR2	3442.06
YBR103W	SIF2	2702.91
YML067C	ERV41	4587.66
YKL114C	APN1	9066.52
YPR022C	YPR022C	3801.74
YLR299W	ECM38	1346.13
YMR264W	CUE1	2067.27
YLL012W	YEH1	2103.25
YGR196C	FYV8	6914.52
YPL230W	USV1	204.259
YLR359W	ADE13	18388.8
YBL091C-A	SCS22	2088.54
YMR172W	HOT1	803.781
YDR033W	MRH1	4498.72
YBR054W	YRO2	6966.92
YBR278W	DPB3	346.229
YOR119C	RIO1	2952.62
YMR095C	SNO1	95.356
YFL060C	SNO3	419.7
YPR156C	TPO3	2129.26
YGR138C	TPO2	1306.43
YHR176W	FMO1	653.517
YIL116W	HIS5	4560.27
YIL021W	RPB3	4206.74
YIL041W	GVP36	10919.5
YOR180C	DCI1	212.96
YLR321C	SFH1	3669.46
YJR123W	RPS5	11714.6
YFR002W	NIC96	10796.8
YBL102W	SFT2	1066.77
YNL075W	IMP4	9814.2
YGL174W	BUD13	2111.56
YMR201C	RAD14	1794.83
YNL314W	DAL82	357.809
YPL265W	DIP5	1838.7
YER107C	GLE2	5741.05
YLR166C	SEC10	7482.02
YPL266W	DIM1	11381.6
YDR470C	UGO1	2076.42
YHR147C	MRPL6	2528.25
YKL144C	RPC25	1619.08
YDR404C	RPB7	1622.18
YIL127C	RRT14	1698.48
YNR032W	PPG1	911.542
YKL187C	YKL187C	236.944
YDR237W	MRPL7	1949.93
YKL002W	DID4	2068.1
YOL126C	MDH2	1777.71
YHR141C	RPL42B	12798.3
YGR169C-A	YGR169C-A	4087.05
YJL029C	VPS53	5668.57
YDR090C	YDR090C	559.705
YDR498C	SEC20	3784.86
YDR041W	RSM10	2038.15
YJR040W	GEF1	3585.28
YOR194C	TOA1	1326.58
YHR087W	RTC3	456.868
YER010C	YER010C	942.052
YIL033C	BCY1	10198.6
YNL317W	PFS2	2512.68
YPL011C	TAF3	2583.69
YOL018C	TLG2	4829.4
YPR114W	YPR114W	1940.07
YDR472W	TRS31	2952.4
YPR004C	AIM45	3653.61
YCL064C	CHA1	1053.72
YGL071W	AFT1	2352.47
YBL055C	YBL055C	4529.32
YKR043C	SHB17	10551.5
YHR012W	VPS29	2854.62
YCR072C	RSA4	10749.7
YDL006W	PTC1	2628.48
YMR295C	YMR295C	3813.72
YER139C	RTR1	3416.3
YDR071C	PAA1	14130.9
YPR056W	TFB4	2148.7
YDR279W	RNH202	5513.92
YBL089W	AVT5	116.682
YGL141W	HUL5	3728.37
YHR154W	RTT107	9325.2
YER119C	AVT6	354.202
YCR021C	HSP30	125.848
YDR232W	HEM1	6419.92
YLR052W	IES3	1899.3
YKL146W	AVT3	2582.3
YPR091C	YPR091C	13395.8
YCL037C	SRO9	12996.8
YMR197C	VTI1	3344.61
YPR165W	RHO1	5399.96
YKL185W	ASH1	1824.78
YBR200W	BEM1	4863.36
YGL023C	PIB2	4123.08
YNL315C	ATP11	2105.09
YDL072C	YET3	3833.3
YGL153W	PEX14	4900.76
YKR090W	PXL1	8001.89
YER026C	CHO1	1305.7
YDR422C	SIP1	1785.68
YJL154C	VPS35	5307.79
YLR390W-A	CCW14	207.405
YDR307W	YDR307W	1906.23
YCL005W	LDB16	797.408
YNL326C	PFA3	525.945
YGL159W	YGL159W	3075.78
YPR028W	YOP1	4324.12
YGR125W	YGR125W	2471.65
YLR072W	YLR072W	4209.15
YOL127W	RPL25	32477.3
YPR103W	PRE2	3223.81
YOL061W	PRS5	9072.29
YOR221C	MCT1	642.067
YER043C	SAH1	60791.4
YDL244W	THI13	329.264
YJL174W	KRE9	3187.04
YGR275W	RTT102	2387.98
YPL155C	KIP2	2251.67
YIR002C	MPH1	3035.29
YOR179C	SYC1	685.345
YML001W	YPT7	6166.92
YHL038C	CBP2	3152.02
YHR013C	ARD1	6954.86
YJL081C	ARP4	6990.07
YGL010W	YGL010W	464.304
YMR149W	SWP1	3537.02
YBR070C	ALG14	568.293
YDL053C	PBP4	4767.52
YDL098C	SNU23	1990.37
YNL055C	POR1	9440.54
YNR003C	RPC34	5626.64
YJR011C	YJR011C	2070.43
YKR058W	GLG1	654.509
YMR054W	STV1	5758.16
YLR005W	SSL1	3388.44
YHR041C	SRB2	2301.69
YBR030W	RKM3	2722.77
YIL106W	MOB1	2395.61
YGR004W	PEX31	1770.35
YEL027W	VMA3	535.899
YOL067C	RTG1	436.52
YBR065C	ECM2	2863.31
YML031W	NDC1	4684.84
YDR398W	UTP5	9013.49
YHR140W	YHR140W	235.562
YKL168C	KKQ8	2103.78
YJL053W	PEP8	5361.19
YPR072W	NOT5	7475.85
YBR283C	SSH1	6034.14
YPL224C	MMT2	1614.5
YLR250W	SSP120	3217.55
YHL017W	YHL017W	1238.55
YDR331W	GPI8	1251.41
YEL044W	IES6	2578.99
YOR223W	YOR223W	604.09
YGL100W	SEH1	5020.76
YPR173C	VPS4	8381.85
YOR120W	GCY1	541.958
YDR368W	YPR1	8930.39
YIR029W	DAL2	442.558
YOR344C	TYE7	145.212
YOR174W	MED4	4170.74
YOR040W	GLO4	1671.79
YDR418W	RPL12B	41308.6
YHR181W	SVP26	4139.4
YLR277C	YSH1	5621.34
YOR122C	PFY1	4466.02
YGR048W	UFD1	4302.83
YGR037C	ACB1	4166
YBR254C	TRS20	1327.5
YML101C	CUE4	987.221
YDR212W	TCP1	22022.9
YNR008W	LRO1	5837.63
YLR303W	MET17	15875.3
YGL097W	SRM1	10428.2
YKL093W	MBR1	136.783
YLR413W	YLR413W	7653.86
YOR149C	SMP3	664.234
YOR229W	WTM2	2433.54
YML128C	MSC1	2540.15
YOR150W	MRPL23	637.412
YDR262W	YDR262W	2171.55
YLR409C	UTP21	7275.56
YLR323C	CWC24	2485.08
YLR116W	MSL5	1541.93
YKL095W	YJU2	970.452
YBR170C	NPL4	7377.96
YDR247W	VHS1	593.945
YML018C	YML018C	563.807
YEL040W	UTR2	4076.38
YHR204W	MNL1	863.224
YCR002C	CDC10	4160.05
YGL175C	SAE2	510.966
YDR346C	SVF1	18488.5
YKL219W	COS9	1270.84
YOR155C	ISN1	3864.1
YMR297W	PRC1	3838.33
YLR077W	FMP25	2392.07
YIL077C	YIL077C	798.905
YOR103C	OST2	1544.87
YBR024W	SCO2	1724.78
YER086W	ILV1	16280.1
YHR051W	COX6	780.508
YNL251C	NRD1	8441.94
YNL254C	RTC4	1214.84
YDR234W	LYS4	7658.16
YER095W	RAD51	1641.56
YPR023C	EAF3	5966.94
YOR161C	PNS1	1324.95
YCR038C	BUD5	659.584
YLR295C	ATP14	469.499
YGL087C	MMS2	1429.07
YDR233C	RTN1	10792.3
YML125C	PGA3	10918.2
YDR031W	MIC14	1088.2
YDR117C	TMA64	7032.29
YDL045W-A	MRP10	293.735
YKL137W	CMC1	1495.25
YAL014C	SYN8	941.815
YMR182W-A	YMR182W-A	551.526
