proteins	abundances
P27796	8.60328776291312e-06
P33297	1.80240196076861e-06
0	2.03091332355952e-05
P33322	7.2556890906994e-06
P11076	3.02642086732662e-06
P19146	2.02803349178908e-06
Q08412	2.92599415975612e-06
P07213	1.07795245942274e-06
Q08822	2.41125915031727e-06
P33303	7.23246458182291e-06
P15646	9.46079349503651e-06
(P0CX31-P0CX32)	1.88722611371475e-05
P38701	2.03820709597183e-05
P40531	4.14299707987806e-06
P0C0W1	1.76240196076861e-05
P25349	6.4602323156585e-06
P32775	2.14376456487189e-06
P17555	1.82011795763435e-06
P36046	1.39284228674571e-06
Q02753	8.49810122065941e-06
P41807	1.69784958011502e-06
P27614	3.18794979923188e-06
Q04491	2.78345129096768e-06
(P0CX53-P0CX54)	1.41901555491546e-05
P40212	1.39008649235143e-05
Q03940	4.07223890406034e-06
P47079	2.51133760999819e-06
P38247	1.80433979557773e-06
P12683	2.97954988588578e-06
(P0CX29-P0CX30)	2.1052747415969e-05
P52893	2.04003567486946e-06
Q01532	8.53660182062826e-06
P16550	1.41202019447185e-06
P24276	6.51026341365809e-07
P38631	7.51149485874229e-07
P40989	1.47542940319563e-07
P27616	5.04874598686077e-06
P09064	2.62715349768628e-06
P28777	3.66499251582846e-06
P07278	3.65890854471424e-06
Q03048	1.65384514818042e-05
Q12377	4.24150057243622e-06
P19262	4.90538059272169e-06
P38205	4.01451259249387e-06
P40991	2.02572080480478e-06
P32499	2.1130376129152e-06
Q12329	5.29069285712768e-06
P02406	1.65385878242451e-05
P30952	3.78996438214399e-06
P39958	2.78963696724227e-06
P49095	2.61536108188298e-06
P10080	4.48346398258242e-06
P34227	4.15449210975965e-06
Q3E757	2.32852579507632e-05
P36010	6.77350659061935e-06
P29952	2.72173199129121e-06
P53297	7.15920264410211e-07
P42943	1.82456933495453e-06
P35191	7.32401960768609e-06
Q12118	4.8866990415154e-06
P14904	3.14355404157255e-06
P21242	5.24263799590531e-06
P34223	9.05957588375009e-07
Q04636	1.03291282278565e-06
Q08723	5.56629545471171e-06
P40016	2.46185009210077e-06
Q04458	4.43655874124154e-06
P40075	3.77145411833745e-06
P07143	5.2800535123042e-06
P02557	4.72048217343837e-06
P47039	2.2804329143287e-06
P07170	8.3488959610201e-06
P15700	1.98030188574766e-06
P40053	1.35308089364777e-06
0	2.63893790846009e-06
P14020	3.67103984774331e-06
P53839	4.63087106905179e-06
Q01560	7.96704031472652e-06
(P0CX42-P0CX41)	8.0412e-06
P41277	1.06797188428245e-06
P40106	5.43985876090513e-06
P38431	3.02545595031909e-06
P23644	5.49578490358879e-06
P33338	7.57853697930764e-07
P32598	1.85086883858679e-06
P08518	6.77546499834041e-07
Q04728	3.22379490933034e-06
P32628	1.87544816889961e-06
P40008	5.71262580889011e-06
P39683	2.50083135592652e-06
P23180	1.83987163115885e-06
P40327	1.5942738240467e-06
0	6.1252747415969e-06
Q12031	5.12164832294268e-06
Q02196	3.62406469969725e-06
P06115	3.72994444077048e-06
Q03102	4.10467095187945e-06
P17423	4.16835925819244e-06
P54783	1.81598612312774e-06
Q12462	4.76493964030514e-06
Q04336	9.8002047123804e-07
P40017	1.28256734722315e-06
P12612	3.13660182062826e-06
P36421	4.46468802594061e-06
P06780	5.89163381877971e-06
P17649	1.02255964801021e-06
P25567	7.04328464796228e-07
P41921	2.1908658286574e-06
P20459	3.6824e-06
P40303	1.95108059200201e-06
P05740	1.71362663666077e-06
P46990	1.1440490278149e-06
P40010	1.04524335819732e-06
P32835	1.39085891246683e-06
P32836	4.9802907554355e-07
P32468	9.1205573628067e-07
P48589	1.12917890428036e-05
Q04894	2.96023604856215e-06
P00447	6.77215349244696e-06
P53885	2.54675521197609e-06
Q12464	1.89739863412684e-06
P47120	2.01780718333164e-06
P00498	2.51104200950535e-06
P37262	1.09673954299815e-06
P50278	3.55870190668189e-06
Q12480	3.19477494294289e-06
P20449	1.15513991620585e-06
P12385	3.58470644530815e-06
P14306	4.17261702204766e-06
P07277	9.14661110743715e-07
P35732	3.7400535123042e-06
P05755	7.40230393511719e-06
P36148	1.19882065504684e-06
P38988	4.30038369457596e-06
P13298	3.7824e-06
Q05016	6.42273107254363e-06
P20606	5.34383656445553e-06
P40850	8.00470916904325e-07
P38624	3.55386854082747e-06
P22336	1.66797675493131e-06
P25293	2.37001783743473e-06
Q06494	1.63808187357818e-06
P01120	2.2492e-06
P01119	6.78521972803235e-07
P38075	1.99882213862484e-06
Q12074	3.12850391517448e-06
P32179	2.34124043185207e-06
P32368	1.0636082599225e-06
P10963	8.14431675352438e-07
P15424	1.03680666694199e-06
P02294	1.36610881155366e-05
P38911	2.73020555465177e-06
Q06205	2.74379453458938e-06
P32521	1.09455039135207e-06
P22146	2.37557738522896e-06
P09457	5.48949505055397e-06
Q12250	1.28629144657787e-06
Q04062	2.36299306156387e-06
Q03161	2.23516389829713e-06
P53849	1.26324591536533e-06
Q06103	2.59188285480006e-06
(P0CX52-P0CX51)	6.35848751417835e-06
P32263	3.65413135689295e-06
Q10740	1.79181037471183e-06
P31383	1.208242307602e-06
Q08971	2.59720588230583e-06
Q02046	3.55825636302294e-06
P21524	1.6415364910525e-06
Q12154	2.36000705598111e-06
P22147	9.82147144940939e-07
P38081	3.72025372848113e-06
(P0CX24-P0CX23)	1.16896945433833e-05
P29704	3.24508205569097e-06
P32602	3.18569636281831e-06
P40413	1.02798371861713e-06
P11353	2.64126735496509e-06
P38795	7.79633970145128e-07
P35691	1.14798273194278e-05
P39986	7.62482560856914e-07
P10614	1.66147652329083e-06
P38328	1.00347377839465e-06
P00729	1.8456818781791e-06
Q04013	3.03100471385925e-06
P50085	2.80538083330427e-06
P14843	3.0584e-06
P32379	4.75590754171928e-06
P53852	1.13837693696837e-06
Q12189	3.64944138156437e-06
P38295	3.28872602930806e-06
P53172	1.21639930496375e-06
P38250	1.7992457134114e-06
P53235	9.08210934865844e-07
P05373	1.4955701770906e-06
P20081	1.55852579507632e-05
P43588	3.02819503544581e-06
Q99287	1.30610011682526e-06
P23639	4.5615364910525e-06
Q07505	1.57457647431519e-06
P53303	1.20129416528034e-06
Q12068	1.25729893973563e-06
Q05905	1.16466504025841e-05
P32573	4.18555040170279e-06
P07172	2.4215364910525e-06
P38694	6.96542594398314e-07
P07703	2.43636413936856e-06
P36114	1.10813063354452e-06
P32771	2.36763737079845e-06
Q06142	1.12227634550199e-06
P40093	2.11987163115885e-06
P48015	2.10087106905179e-06
P08067	3.32108059200201e-06
P38687	6.14346674834246e-07
P36017	7.6855752113809e-06
P36018	5.31094366107481e-07
P39926	2.64338641802098e-06
(P0CX85-P0CX84)	2.38624312844931e-05
P38616	4.01232357459108e-06
P40364	1.66961971324833e-06
Q03862	1.10931271404714e-06
P32471	6.07865995645606e-06
P39966	1.09918167467334e-06
P34221	4.62062061015238e-07
P04037	2.70854575153452e-06
P25613	2.61278543491758e-06
P32907	7.27307274692243e-07
P25375	1.210246121739e-06
P51996	4.78979659803942e-07
P38555	2.37267703661031e-07
Q12305	7.22764149390136e-06
P36049	1.61179189046702e-06
P38230	3.59658208864717e-06
Q04067	1.05882762648519e-06
P25451	2.44912822785654e-06
(P0CX49-P0CX50)	1.27403282227639e-05
Q12265	1.19959852317983e-06
Q04178	2.54228103332995e-06
P15873	1.88144221214178e-06
P32787	1.70928362848433e-06
P11745	2.13986155910944e-06
P38067	8.49666668085106e-07
P38061	2.30339114187656e-05
P32608	5.50378949987528e-07
0	4.04236428024953e-07
0	3.86773021220146e-07
P38314	1.64746469022628e-06
P41058	1.22131117742026e-05
P41057	2.53046543482988e-06
P33399	1.08069401642699e-06
P53199	7.71459137337904e-06
P24280	8.29249406777957e-07
P53184	2.7793303936935e-06
P38791	4.39497033709778e-07
P32898	7.24299707987806e-07
P38741	8.33748943293711e-07
P53731	1.64843146065107e-06
P40471	3.23376456487189e-06
Q08686	1.22891827467581e-06
O14467	5.03231993095623e-06
P00128	4.2258760263003e-06
P05744	5.19881259717311e-06
P41056	1.39137333427217e-06
Q99383	1.98299707987806e-06
P32381	1.48893790846009e-06
Q3E792	9.85716241441434e-06
P36041	8.73921024080816e-07
P36139	2.89583020181177e-06
P38886	2.22296607851218e-06
P05626	4.41608187010756e-06
P32332	1.03502646499848e-06
P23776	2.24720275809147e-06
P30656	2.5157927833134e-06
Q01852	1.24456478638683e-06
P53081	1.46147652329083e-06
P39714	3.07334402499547e-06
P05756	6.99814681037685e-06
Q08179	1.7755701770906e-06
Q12029	1.03892879252374e-06
P25039	1.0978963916567e-06
0	1.45547711468202e-05
P21304	1.33296922626722e-06
P40029	5.48568231739452e-06
P36015	2.26649202520145e-06
Q12447	2.40703526257393e-06
P53250	1.61173816463948e-06
P32563	7.30808822505528e-07
P40363	2.16412903740657e-06
P00044	7.50817885276415e-06
Q12109	1.45902269533075e-06
Q06892	2.86703298879587e-06
P40893	4.56393389317562e-06
P38817	2.31169766451582e-06
0	7.49719577422999e-06
P47137	1.30953287675864e-06
Q04439	4.25257673740049e-07
P21965	7.5415364910525e-07
P18961	1.87632307829161e-07
P40513	5.25013606550286e-06
P07260	2.32179678348981e-06
P32485	5.84711081013905e-07
Q00772	4.49278703088359e-07
P53334	1.76541735234403e-06
P39517	7.66504350679293e-07
Q02892	9.74528864046634e-07
P38264	5.27812078500411e-06
Q04371	6.96435246700751e-07
P38821	1.26738639114028e-06
P47018	9.47313207981563e-07
P43123	9.26126343110095e-07
P53633	2.79499604518638e-06
P53723	1.21993995745316e-06
P53128	5.68806344031016e-07
P23638	2.00004729082879e-06
P12945	4.81395227548669e-07
P33201	1.4564939860945e-06
P32366	9.57506237870908e-07
P40961	1.3530376129152e-06
P15454	5.10786052958784e-06
P33775	2.22072951745518e-07
P00427	2.3519885287853e-06
Q08208	5.81256569825028e-07
Q12434	1.2733965654672e-06
Q05359	3.53628057609988e-06
0	2.22961632326362e-05
P30822	5.23455906833132e-07
Q06625	1.43218437845772e-06
P20485	5.28308090774782e-07
P07274	1.014931105943e-05
P21734	7.77472525612797e-07
0	1.65346725403774e-06
P38152	1.3881485378157e-06
P38248	3.14254442975276e-06
P48837	6.40745055523668e-07
P40165	3.47832584916179e-06
P32843	7.59778778027462e-07
P41903	1.70921109641943e-06
P32795	8.27874661239298e-07
P38912	2.66787795882365e-06
Q01662	8.08491872704484e-07
P23291	3.65639426109939e-07
P29295	6.05686494190798e-07
P39962	5.36290781211057e-07
P53101	1.06127355432913e-06
P19454	4.63730582474192e-07
P32895	5.08969799490587e-06
P0C2H8	2.69565155751e-06
P04456	9.11978623248658e-06
Q12117	6.8227304679692e-07
P38079	1.351618058785e-06
Q00245	2.32557086983517e-06
Q04225	9.41077923956852e-07
P38626	1.09639063912402e-06
P14906	8.25726998907282e-07
Q03104	1.94575591764731e-06
P25342	5.79286256681903e-07
P22803	3.35935696354953e-06
P32356	1.85043123153855e-06
P12962	2.47317292322783e-06
Q05515	1.40697208347772e-06
P02400	2.94015094287383e-06
P38836	3.69882213862484e-07
P35197	7.0003341339969e-07
Q08968	4.82271273941437e-07
P32803	3.08480952673927e-06
P50107	1.55248289298656e-06
Q08818	5.51650160474352e-07
Q12207	1.91194576150638e-05
P38996	1.04566916211465e-06
Q03532	2.20054065475612e-06
Q03028	1.20377551525618e-06
P38260	2.11720588230583e-06
P23724	3.21524468903305e-06
P38755	5.13773249917021e-07
Q02201	1.78213766997604e-07
P39968	3.55566691622101e-06
Q06489	6.33751487482782e-07
P14922	9.51977242061905e-07
P32335	6.08440505889397e-07
P05749	2.90270896554447e-06
P56628	2.02606161207045e-06
P53295	1.26607969077848e-06
P15274	8.7935486851704e-07
P47096	3.00002795013506e-06
P32458	2.06733016948244e-06
P23337	2.48167019465722e-07
P40506	7.28351115938225e-07
P38810	2.54392022022518e-07
Q04697	1.72333566666181e-06
P39729	1.1854344192934e-06
P47085	1.30299306156387e-06
P42940	1.88638546895667e-06
P22943	4.4936476025527e-06
P22133	2.62332604574071e-06
P42938	6.52164665133428e-07
P49334	2.60961971324833e-06
P43621	1.05690889921858e-06
P22141	4.3730589588745e-06
P49954	1.10246238709351e-06
P32588	3.24516389829713e-06
P53615	1.63923009878695e-06
Q02776	1.02620747464284e-06
P26754	3.94227284765953e-07
Q03835	3.55317998360039e-06
Q07451	1.21922214559385e-06
Q07623	1.11945460842195e-06
Q04410	1.54795439904958e-06
Q99258	2.8041145383555e-06
P07280	4.12550962237523e-06
Q01163	2.97320603334692e-07
P38922	9.83773278313717e-07
P32469	6.64331364833387e-07
P38858	2.64299762711183e-06
Q12165	2.56629644403855e-06
P53011	1.13441169070054e-06
P38861	1.32565155751e-06
0	8.16002900512265e-06
Q05979	1.3378963916567e-06
P48362	1.86334916068745e-06
P53981	2.72326245094257e-06
P18562	2.03167190691288e-06
P36534	1.19324168502399e-06
P39101	2.24961927841061e-06
P40581	2.34203686474163e-06
P39939	1.84470644530815e-05
P38840	2.15261702204766e-06
P40159	1.45135534496481e-06
P53879	1.91470015845575e-06
P21560	8.90800428521279e-07
Q12522	4.57301032547566e-06
P13517	1.47803817945183e-06
P38145	3.01004729082879e-06
P39990	5.66729406653742e-06
P47035	1.16784093908955e-06
Q12496	1.15961424999128e-06
Q06523	7.87438794332627e-07
P38221	7.24224422719528e-06
Q07657	1.29784969445376e-06
Q05785	1.42044595798344e-07
Q12518	8.28294967166812e-07
P28707	4.45069224361158e-06
P35189	1.74839222421503e-06
Q12443	1.74724721650208e-06
P32337	2.72401282999456e-06
P36136	9.4389620384148e-07
0	8.38605131997826e-07
P38235	7.70401275357971e-07
P28007	2.24925276789981e-06
P32496	3.78534673350137e-06
P87262	2.38075008360868e-05
P40483	6.77713349800046e-07
P32495	1.52015094287383e-05
P36035	8.57913386084833e-07
P53095	1.40852579507632e-06
P28495	2.24480392153722e-06
P50101	6.41451391236185e-07
P33767	1.23240196076861e-06
P31382	3.59489434961979e-07
P32353	4.0486040240239e-06
0	4.73399324961558e-06
P00424	2.08191180074799e-06
P32352	4.95986761133571e-06
Q03973	1.68566230297713e-06
P22696	1.73845655817284e-06
Q06287	6.75733198591131e-07
P53316	5.276e-07
Q04660	3.74554367685584e-07
Q04935	2.16976648888082e-06
P38628	1.00915539015995e-06
P39726	4.03811468056664e-06
P02309	2.04180235787289e-06
P45978	8.74067461784735e-07
P38787	8.11663934781072e-07
Q12466	2.52597734140742e-07
P07285	1.39143414685915e-06
P38879	2.58194576150638e-06
Q12408	4.66770296146941e-06
P32897	2.15369103132264e-06
P36037	6.33815323726564e-07
Q08193	3.3571951888756e-06
P46969	4.43762209248311e-06
Q00362	2.03044218192285e-06
P32790	1.58478365111365e-06
P47160	5.66076781817079e-07
P48510	9.99391049448842e-07
Q05567	1.5364e-06
Q04175	5.07992307448932e-07
P53721	4.7155752113809e-07
P11914	1.1007602897654e-06
Q08745	1.01785838517014e-05
P10662	2.47822961215546e-07
P38828	5.61457391789749e-07
P34160	4.09250082767273e-07
P32445	3.86254442975276e-06
P41920	3.48343564986731e-06
P40462	1.26234013188725e-06
Q08235	1.35358480350911e-06
P23615	7.9304072104879e-07
P53044	3.96682361182171e-06
P43590	4.91845644539761e-07
0	7.59001270298141e-07
P81449	1.91305658183934e-06
P38765	9.2611766054255e-07
0	1.16152952246021e-06
Q08225	3.7032e-07
P25043	2.35083279767273e-06
P53292	1.51987902804125e-06
P32264	2.63742690278746e-07
P47127	2.02256343212028e-07
Q05029	1.15399435142828e-06
