GeneID	REF
Table S3. Quantitative proteome abundances in yeast under ten environmental conditions. For the description of conditions, please refer to Figure 1A in the main text.	NaN
	NaN
Gene ID	NaN
	NaN
YDR227W	NaN
YDR229W	153.3576908
YDR231C	336.1840989
YDR232W	749.2701797
YDR233C	11457.91394
YDR234W	3310.577509
YDR236C	597.5590123
YDR237W	331.6793099
YDR238C	762.5120939
YDR240C	NaN
YDR245W	500.3005053
YDR246W	489.2047759
YDR248C	808.4200653
YDR251W	20.2696654
YDR257C	80.72803363
YDR258C	5723.632384
YDR262W	NaN
YDR267C	452.8163628
YDR268W	103.0430879
YDR272W	765.1657139
YDR279W	NaN
YDR280W	670.6969514
YDR292C	317.8108496
YDR293C	46.86794023
YDR294C	565.149797
YDR295C	37.1321442
YDR296W	667.9339199
YDR298C	27606.99154
YDR299W	322.8627025
YDR300C	691.7193308
YDR301W	NaN
YDR303C	115.2088193
YDR304C	1826.174564
YDR305C	466.4858281
YDR311W	NaN
YDR321W	18.48841234
YDR322W	295.1754072
YDR324C	63.68710199
YDR328C	406.5721125
YDR330W	NaN
YDR335W	85.71988341
YDR337W	NaN
YDR341C	4213.925405
YDR346C	1069.841959
YDR347W	687.0414633
YDR353W	4650.527099
YDR354W	994.2182906
YDR358W	NaN
YDR361C	1235.292215
YDR363W-A	NaN
YDR365C	NaN
YDR368W	1209.135833
YDR372C	253.4594345
YDR375C	44.23750516
YDR376W	NaN
YDR377W	2282.065437
YDR378C	4043.47583
YDR379C-A	374.2175754
YDR379W	NaN
YDR380W	NaN
YDR382W	21231.66486
YDR385W	NaN
YDR390C	239.2894004
YDR394W	705.9957281
YDR395W	516.1681414
YDR397C	NaN
YDR399W	10498.77392
YDR404C	276.6906156
YDR405W	30.10255945
YDR407C	NaN
YDR408C	439.7354344
YDR412W	44.08812311
YDR424C	548.8748302
YDR425W	NaN
YDR427W	5221.952333
YDR428C	444.2503214
YDR429C	1784.994632
YDR430C	175.2337821
YDR432W	3505.023259
YDR434W	818.7504207
YDR435C	201.147196
YDR439W	NaN
YDR441C	NaN
YDR449C	127.3877682
YDR452W	214.2507779
YDR453C	NaN
YDR454C	4286.886769
YDR462W	NaN
YDR465C	NaN
YDR468C	NaN
YDR470C	158.0971029
YDR475C	NaN
YDR476C	760.9157463
YDR477W	248.2629801
YDR484W	NaN
YDR487C	16515.8769
YDR489W	NaN
YDR493W	750.4619388
YDR496C	185.9322552
YDR502C	34555.50846
YDR510W	1606.341672
YDR511W	NaN
YDR516C	473.2547387
YDR518W	850.0550793
YDR529C	27157.3191
YDR531W	463.0470613
YDR533C	6885.117422
YEL002C	2850.899807
YEL003W	5.800756932
YEL007W	NaN
YEL013W	157.6286962
YEL017W	NaN
YEL018W	NaN
YEL020W-A	NaN
YEL021W	1284.039765
YEL022W	147.4179673
YEL024W	5919.288234
YEL026W	16044.56716
YEL031W	458.4507522
YEL032W	116.0519315
YEL036C	457.8988929
YEL037C	226.8442142
YEL038W	490.5957065
YEL043W	NaN
YEL046C	370.3539858
YEL047C	2954.646884
YEL048C	NaN
YEL050C	51.49321673
YEL051W	50.72079736
YEL055C	165.946808
YEL056W	818.8941601
YEL058W	269.881495
YEL060C	1868.402591
YEL066W	514.5893843
YEL071W	2847.677557
YER003C	7493.34133
YER004W	5368.824424
YER006W	442.4549983
YER007C-A	1574.332475
YER008C	11.48185775
YER009W	NaN
YER012W	1213.791962
YER016W	344.0922961
YER017C	125.9308005
YER019W	NaN
YER021W	439.9456755
YER023W	3251.927637
YER024W	513.9999951
YER025W	2022.149173
YER029C	152.1367675
YER031C	870.0114553
YER036C	2680.619349
YER042W	95.44060925
YER043C	46242.50074
YER044C	288.9176731
YER048C	1069.3251
YER048W-A	109.2749387
YER049W	1212.030918
YER052C	4691.289246
YER055C	8111.509562
YER056C-A	10471.35885
YER057C	7974.945367
YER061C	338.1884468
YER062C	389.0415118
YER063W	568.8125162
YER065C	2618.060155
YER069W	7819.58503
YER071C	340.4405777
YER073W	3032.03923
YER080W	40.29672132
YER081W	2385.584952
YER083C	957.6393898
YER086W	5332.238595
YER089C	1283.303019
YER090W	1208.946896
YER091C	53027.79615
YER095W	NaN
YER099C	66.23130851
YER101C	165.7866603
YER105C	NaN
YER110C	4431.287763
YER112W	915.0198601
YER114C	206.9044382
YER120W	2834.722331
YER123W	76.04054028
YER125W	447.9221144
YER126C	357.5512224
YER127W	49.38182485
YER133W	3227.969912
YER134C	655.454312
YER136W	3742.770181
YER139C	NaN
YER142C	NaN
YER143W	1205.974413
YER146W	NaN
YER149C	9.368760375
YER151C	69.15153276
YER156C	281.4003524
YER157W	14.49394368
YER164W	84.80645618
YER165W	8091.304277
YER166W	19.75394461
YER171W	4.938535429
YER172C	NaN
YER174C	397.5596117
YER175C	675.6375077
YER177W	14217.98316
YER178W	5716.67631
YFL002C	NaN
YFL004W	137.4395292
YFL005W	4974.849097
YFL007W	NaN
YFL014W	15541.30254
YFL016C	460.5005861
YFL017C	131.9496237
YFL018C	6676.40176
YFL022C	1861.848757
YFL028C	781.4547521
YFL030W	3854.776277
YFL033C	NaN
YFL034C-A	4024.052102
YFL037W	3917.358034
YFL038C	4534.200396
YFL039C	37643.33617
YFL041W	364.043018
YFL044C	607.097815
YFL045C	4744.318702
YFL047W	35.82612747
YFL048C	293.7034966
YFL053W	18.95994476
YFR001W	1183.273533
YFR002W	206.5826457
YFR004W	3071.949366
YFR006W	100.0641399
YFR007W	4.27609914
YFR009W	530.7135114
YFR010W	1600.054839
YFR011C	1631.819696
