enzymes	ranges	minU	maxU	pU
P00127	5.17116290594554e-09	2.5532540694126e-05	2.5537711857032e-05	2.55340391572422e-05
P00128	5.17116290594554e-09	2.5532540694126e-05	2.5537711857032e-05	2.55340391572422e-05
P00163	5.17116290594554e-09	2.5532540694126e-05	2.5537711857032e-05	2.55340391572422e-05
P00330	6.20736946625224e-08	3.45040310838686e-06	3.51247680304939e-06	3.46950833067065e-06
P00358	1.58177822675413e-05	0	1.58177822675413e-05	0
P00359	0.000174429791573413	0	0.000174429791573413	0.000174385497198751
P00360	0.000174413690181728	0	0.000174413690181728	0
P00401	1.64042301354565e-09	8.09972454965702e-06	8.10136497267056e-06	8.10019987684684e-06
P00410	1.64042301354565e-09	8.09972454965702e-06	8.10136497267056e-06	8.10019987684684e-06
P00420	1.64042301354565e-09	8.09972454965702e-06	8.10136497267056e-06	8.10019987684684e-06
P00425	1.88573019940897e-09	8.09972451724258e-06	8.10161024744198e-06	8.10019987684684e-06
P00427	1.88573019940897e-09	8.09972451724258e-06	8.10161024744198e-06	8.10019987684684e-06
P00549	2.43359681447089e-06	1.5573187178684e-05	1.80067839931549e-05	1.80061312552064e-05
P00560	3.63252438158149e-08	7.98592439117425e-06	8.02224963499006e-06	7.98685771885204e-06
P00830	2.05142273321937e-09	2.03144012677552e-05	2.03164526904884e-05	2.03148437911464e-05
P00854	2.05140960411382e-09	2.03142712555871e-05	2.03163226651912e-05	2.03147137761461e-05
P00856	2.05140960411382e-09	2.03142712555871e-05	2.03163226651912e-05	2.03147137761461e-05
P00890	1.9727007215631e-06	0	1.9727007215631e-06	1.97176641710319e-06
P00924	4.91560526614073e-08	0	4.91560526614073e-08	0
P00925	4.90067997948304e-08	0	4.90067997948304e-08	0
P00942	5.91203141818039e-08	2.482824019219e-07	3.07402716103704e-07	2.48311314878014e-07
P00950	5.82205168117566e-08	7.44105142490142e-06	7.49927194171318e-06	7.44192107240953e-06
P04037	1.88573019940897e-09	8.09972451724258e-06	8.10161024744198e-06	8.10019987684684e-06
P04039	3.77146039881793e-09	1.61994490344852e-05	1.6203220494884e-05	1.62003997536937e-05
P04385	0	0	0	0
P04397	2.02490722455225e-08	0	2.02490722455225e-08	0
P04806	9.65993536074757e-07	8.17574106925635e-06	9.14173460533111e-06	9.14173460533111e-06
P04807	5.44239563992159e-08	0	5.44239563992159e-08	0
P05626	2.05140960411382e-09	2.03142712555871e-05	2.03163226651912e-05	2.03147137761461e-05
P06169	1.86513296389208e-05	3.52116156131446e-05	5.38629452520654e-05	5.3861332102746e-05
P07143	5.17116290594554e-09	2.5532540694126e-05	2.5537711857032e-05	2.55340391572422e-05
P07170	1.0054805935962e-06	0	1.0054805935962e-06	0
P07251	2.05142273321937e-09	2.03144012677552e-05	2.03164526904884e-05	2.03148437911464e-05
P07255	1.64042301354565e-09	8.09972454965702e-06	8.10136497267056e-06	8.10019987684684e-06
P07256	5.17116290594554e-09	2.5532540694126e-05	2.5537711857032e-05	2.55340391572422e-05
P07257	5.17116290594554e-09	2.5532540694126e-05	2.5537711857032e-05	2.55340391572422e-05
P08067	5.17116290594554e-09	2.5532540694126e-05	2.5537711857032e-05	2.55340391572422e-05
P08417	2.9893075339899e-08	2.55258228263668e-07	2.85151303603568e-07	2.55360918921914e-07
P08431	3.73568765372846e-08	0	3.73568765372846e-08	0
P08525	5.17116290594554e-09	2.5532540694126e-05	2.5537711857032e-05	2.55340391572422e-05
P09201	1.32432542424594e-09	0	1.32432542424594e-09	0
P09457	2.05140960411382e-09	2.03142712555871e-05	2.03163226651912e-05	2.03147137761461e-05
P09624	1.91902974383036e-08	1.1190661463781e-05	1.12098517612193e-05	1.11941614912436e-05
P0CX10	1.86642923892747e-05	0	1.86642923892747e-05	0
P0CX11	1.86642923892747e-05	0	1.86642923892747e-05	0
P10174	1.88573019940897e-09	8.09972451724258e-06	8.10161024744198e-06	8.10019987684684e-06
P10963	2.4425032911208e-09	0	2.4425032911208e-09	0
P11154	3.3379881202895e-06	0	3.3379881202895e-06	3.33518513024505e-06
P11412	9.16265695917387e-10	3.09089805443936e-07	3.10006071139853e-07	3.09194772752713e-07
P12695	9.6844769166653e-10	8.11999590517e-07	8.12968038208666e-07	8.12253554134403e-07
P12709	2.58304064706812e-08	6.12372987777751e-06	6.14956028424819e-06	6.12372987777751e-06
P14540	4.63184607217343e-08	6.62551906003609e-05	6.63015090610826e-05	6.62615456079705e-05
P15019	4.33739737547991e-08	1.81414785379141e-06	1.85752182754621e-06	1.81476979492431e-06
P16387	1.91902974383036e-08	1.1190661463781e-05	1.12098517612193e-05	1.11941614912436e-05
P16451	9.6844769166653e-10	8.11999590517e-07	8.12968038208666e-07	8.12253554134403e-07
P16467	3.79976003113316e-06	0	3.79976003113316e-06	0
P16861	6.47564827743235e-08	0	6.47564827743235e-08	0
P16862	5.22571562552495e-08	5.98052468512957e-06	6.03278184138482e-06	6.03222118458638e-06
P17505	4.49762901501336e-08	1.38756442359715e-06	1.43254071374728e-06	1.38821058446848e-06
P17709	9.65993536074756e-07	0	9.65993536074756e-07	0
P19414	1.92940039364435e-08	1.94350530289879e-06	1.96279930683523e-06	1.94424699746463e-06
P19516	1.17985385112174e-08	0	1.17985385112174e-08	0
P20967	3.08347054273745e-08	9.48105624077287e-06	9.51189094620024e-06	9.5065398160275e-06
P21306	2.05140960411382e-09	2.03142712555871e-05	2.03163226651912e-05	2.03147137761461e-05
P21801	9.81614726863408e-10	1.20470709645644e-06	1.2056887111833e-06	1.20519175140985e-06
P21826	3.63369443710009e-08	0	3.63369443710009e-08	0
P21954	3.06144575314645e-08	9.92447882664234e-06	9.95509328417381e-06	9.94978037635945e-06
P22289	5.17116290594554e-09	2.5532540694126e-05	2.5537711857032e-05	2.55340391572422e-05
P23254	1.31536522879883e-06	1.42588727178627e-07	1.45795395597746e-06	1.43650063776973e-06
P26263	1.86497055945021e-05	0	1.86497055945021e-05	0
P28240	5.28572550680889e-08	0	5.28572550680889e-08	1.26849989519597e-09
P30902	2.05140960411382e-09	2.03142712555871e-05	2.03163226651912e-05	2.03147137761461e-05
P30952	3.63393628593111e-08	0	3.63393628593111e-08	8.72093677947228e-10
P32327	3.33762634195663e-06	0	3.33762634195663e-06	0
P32340	3.59895727024975e-07	4.72981086207306e-06	5.08970658909803e-06	5.08889151242493e-06
P32473	1.91902974383036e-08	1.1190661463781e-05	1.12098517612193e-05	1.11941614912436e-05
P32799	1.88573019940897e-09	8.09972451724258e-06	8.10161024744198e-06	8.10019987684684e-06
P33315	1.29391191058305e-06	0	1.29391191058305e-06	0
P33401	2.50884551998381e-08	0	2.50884551998381e-08	0
P33421	9.81614726863408e-10	1.20470709645644e-06	1.2056887111833e-06	1.20519175140985e-06
P37012	2.50977608149053e-08	0	2.50977608149053e-08	0
P37298	9.81614726863408e-10	1.20470709645644e-06	1.2056887111833e-06	1.20519175140985e-06
P37299	5.17116290594554e-09	2.5532540694126e-05	2.5537711857032e-05	2.55340391572422e-05
P38077	2.05140960411382e-09	2.03142712555871e-05	2.03163226651912e-05	2.03147137761461e-05
P38113	6.07564613020923e-08	0	6.07564613020923e-08	0
P38720	4.18413309376708e-06	1.07373280598014e-06	5.25786589974722e-06	5.24376178932463e-06
P38824	1.17985385112174e-08	0	1.17985385112174e-08	0
