enzymes	ranges	minU	maxU	pU
P00127	4.99220265231303e-09	2.51659942431804e-05	2.51709864458327e-05	2.51672331183865e-05
P00128	4.99220265231303e-09	2.51659942431804e-05	2.51709864458327e-05	2.51672331183865e-05
P00163	4.99220265231303e-09	2.51659942431804e-05	2.51709864458327e-05	2.51672331183865e-05
P00330	6.27693516481216e-08	3.58095416985371e-06	3.64372352150183e-06	3.60027349505606e-06
P00358	1.59950514115986e-05	0	1.59950514115986e-05	0
P00359	0.000179243173505847	0	0.000179243173505847	0.000179198382726205
P00360	0.000179226627797012	0	0.000179226627797012	0
P00401	1.51313127912636e-09	7.98351501303693e-06	7.98502814431606e-06	7.98383747086521e-06
P00410	1.51313127912636e-09	7.98351501303693e-06	7.98502814431606e-06	7.98383747086521e-06
P00420	1.51313127912636e-09	7.98351501303693e-06	7.98502814431606e-06	7.98383747086521e-06
P00425	1.5131535301076e-09	7.98351499078595e-06	7.98502814431606e-06	7.98383747086521e-06
P00427	1.5131535301076e-09	7.98351499078595e-06	7.98502814431606e-06	7.98383747086521e-06
P00549	2.46087001984952e-06	1.60506576232369e-05	1.85115276430864e-05	1.85108675899344e-05
P00560	3.65752774866236e-08	8.20703928102433e-06	8.24361455851096e-06	8.20782600682835e-06
P00830	1.97435909973304e-09	2.00222275836749e-05	2.00242019427746e-05	2.00225829143034e-05
P00854	1.97434646383445e-09	2.00220994414184e-05	2.00240737878822e-05	2.00224547697727e-05
P00856	1.97434646383445e-09	2.00220994414184e-05	2.00240737878822e-05	2.00224547697727e-05
P00890	1.90945890783819e-06	0	1.90945890783819e-06	1.90849440987382e-06
P00924	4.97069422383887e-08	0	4.97069422383887e-08	0
P00925	4.95560167019354e-08	0	4.95560167019354e-08	0
P00942	5.97790338534413e-08	2.55121401100517e-07	3.14900434953958e-07	2.55146799166083e-07
P00950	5.87266459641674e-08	7.64707983007944e-06	7.70580647604361e-06	7.64781287823746e-06
P04037	1.5131535301076e-09	7.98351499078595e-06	7.98502814431606e-06	7.98383747086521e-06
P04039	3.16742109121498e-09	1.59668888675409e-05	1.59700562886321e-05	1.59676749417304e-05
P04385	0	0	0	0
P04397	2.04760026487782e-08	0	2.04760026487782e-08	0
P04806	9.76819380330161e-07	8.40009771813273e-06	9.37691709846289e-06	9.37691709846289e-06
P04807	5.5033883126536e-08	0	5.5033883126536e-08	0
P05626	1.97434646383445e-09	2.00220994414184e-05	2.00240737878822e-05	2.00224547697727e-05
P06169	1.88600564652418e-05	3.69118999408209e-05	5.57719564060627e-05	5.57706228067278e-05
P07143	4.99220265231303e-09	2.51659942431804e-05	2.51709864458327e-05	2.51672331183865e-05
P07170	1.01909164165479e-06	0	1.01909164165479e-06	0
P07251	1.97435909973304e-09	2.00222275836749e-05	2.00242019427746e-05	2.00225829143034e-05
P07255	1.51313127912636e-09	7.98351501303693e-06	7.98502814431606e-06	7.98383747086521e-06
P07256	4.99220265231303e-09	2.51659942431804e-05	2.51709864458327e-05	2.51672331183865e-05
P07257	4.99220265231303e-09	2.51659942431804e-05	2.51709864458327e-05	2.51672331183865e-05
P08067	4.99220265231303e-09	2.51659942431804e-05	2.51709864458327e-05	2.51672331183865e-05
P08417	3.02308358214102e-08	2.4642688994659e-07	2.76657725768e-07	2.46533488956687e-07
P08431	3.7775533301306e-08	0	3.7775533301306e-08	0
P08525	4.99220265231303e-09	2.51659942431804e-05	2.51709864458327e-05	2.51672331183865e-05
P09201	2.38627659345267e-09	0	2.38627659345267e-09	0
P09457	1.97434646383445e-09	2.00220994414184e-05	2.00240737878822e-05	2.00224547697727e-05
P09624	1.89214343440991e-08	1.10381611113978e-05	1.10570825457419e-05	1.10412121117878e-05
P0CX10	1.9180117110269e-05	0	1.9180117110269e-05	0
P0CX11	1.9180117110269e-05	0	1.9180117110269e-05	0
P10174	1.5131535301076e-09	7.98351499078595e-06	7.98502814431606e-06	7.98383747086521e-06
P10963	2.46987631099208e-09	0	2.46987631099208e-09	0
P11154	3.38325280918583e-06	0	3.38325280918583e-06	3.38087642078947e-06
P11412	9.50652355352981e-10	3.15128541356464e-07	3.16079193711817e-07	3.1523428805178e-07
P12695	1.12885349672599e-09	8.00967887800721e-07	8.02096741297447e-07	8.01155476161985e-07
P12709	2.67612970353289e-08	3.20305991066576e-06	3.22982120770109e-06	3.20370132107579e-06
P14540	4.69072561031902e-08	6.80780243416981e-05	6.81249315978013e-05	6.80845202761444e-05
P15019	4.36560640379521e-08	1.84989343766513e-06	1.89354950170308e-06	1.85031834905587e-06
P16387	1.89214343440991e-08	1.10381611113978e-05	1.10570825457419e-05	1.10412121117878e-05
P16451	1.12885349672599e-09	8.00967887800721e-07	8.02096741297447e-07	8.01155476161985e-07
P16467	3.84234376364585e-06	0	3.84234376364585e-06	0
P16861	6.54822056397935e-08	0	6.54822056397935e-08	0
P16862	5.28427997551617e-08	6.14590261295255e-06	6.19874541270771e-06	6.19817847265483e-06
P17505	4.56217313553278e-08	1.33943149220507e-06	1.3850532235604e-06	1.34022534275715e-06
P17709	9.76819380333998e-07	0	9.76819380333998e-07	0
P19414	1.95300944682524e-08	1.88108813775101e-06	1.90061823221927e-06	1.88185806081766e-06
P19516	1.19307641791625e-08	0	1.19307641791625e-08	0
P20967	3.12807865814047e-08	9.15211650235876e-06	9.18339728894016e-06	9.17789269350285e-06
P21306	1.97434646383445e-09	2.00220994414184e-05	2.00240737878822e-05	2.00224547697727e-05
P21801	1.03609598651983e-09	1.16311549832509e-06	1.16415159431161e-06	1.16353014623881e-06
P21826	3.67441708028128e-08	0	3.67441708028128e-08	0
P21954	3.10573523915366e-08	9.60489063609191e-06	9.63594798848345e-06	9.63048271158498e-06
P22289	4.99220265231303e-09	2.51659942431804e-05	2.51709864458327e-05	2.51672331183865e-05
P23254	1.33010646523108e-06	1.58795500870014e-07	1.48890196610109e-06	1.467208221562e-06
P26263	1.88587119707106e-05	0	1.88587119707106e-05	0
P28240	5.34496238471503e-08	0	5.34496238471503e-08	1.26849930238723e-09
P30902	1.97434646383445e-09	2.00220994414184e-05	2.00240737878822e-05	2.00224547697727e-05
P30952	3.67466163952741e-08	0	3.67466163952741e-08	8.72093270391219e-10
P32327	3.3828861249686e-06	0	3.3828861249686e-06	0
P32340	3.63793036100583e-07	4.6633620378359e-06	5.02715507393648e-06	5.02646696390468e-06
P32473	1.89214343440991e-08	1.10381611113978e-05	1.10570825457419e-05	1.10412121117878e-05
P32799	1.5131535301076e-09	7.98351499078595e-06	7.98502814431606e-06	7.98383747086521e-06
P33315	1.30841272069198e-06	0	1.30841272069198e-06	0
P33401	2.53696203409954e-08	0	2.53696203409954e-08	0
P33421	1.03609598651983e-09	1.16311549832509e-06	1.16415159431161e-06	1.16353014623881e-06
P37012	2.53790302436544e-08	0	2.53790302436544e-08	0
P37298	1.03609598651983e-09	1.16311549832509e-06	1.16415159431161e-06	1.16353014623881e-06
P37299	4.99220265231303e-09	2.51659942431804e-05	2.51709864458327e-05	2.51672331183865e-05
